"doi","title","abstract","source_display_name"
"10.1111/j.1551-6709.2011.01210.x","Reflection and Reasoning in Moral Judgment","Abstract While there is much evidence for the influence of automatic emotional responses on moral judgment, the roles of reflection and reasoning remain uncertain. In Experiment 1, we induced subjects to be more reflective by completing the Cognitive Reflection Test (CRT) prior to responding to moral dilemmas. This manipulation increased utilitarian responding, as individuals who reflected more on the CRT made more utilitarian judgments. A follow‐up study suggested that trait reflectiveness is also associated with increased utilitarian judgment. In Experiment 2, subjects considered a scenario involving incest between consenting adult siblings, a scenario known for eliciting emotionally driven condemnation that resists reasoned persuasion. Here, we manipulated two factors related to moral reasoning: argument strength and deliberation time. These factors interacted in a manner consistent with moral reasoning: A strong argument defending the incestuous behavior was more persuasive than a weak argument, but only when increased deliberation time encouraged subjects to reflect.","Cognitive Science"
"10.1037/0278-7393.34.2.302","How does bilingualism improve executive control? A comparison of active and reactive inhibition mechanisms.","It has been claimed that bilingualism enhances inhibitory control, but the available evidence is equivocal. The authors evaluated several possible versions of the inhibition hypothesis by comparing monolinguals and bilinguals with regard to stop signal performance, inhibition of return, and the attentional blink. These three phenomena, it can be argued, tap into different aspects of inhibition. Monolinguals and bilinguals did not differ in stop signal reaction time and thus were comparable in terms of active-inhibitory efficiency. However, bilinguals showed no facilitation from spatial cues, showed a strong inhibition of return effect, and exhibited a more pronounced attentional blink. These results suggest that bilinguals do not differ from monolinguals in terms of active inhibition but have acquired a better ability to maintain action goals and to use them to bias goal-related information. Under some circumstances, this ability may indirectly lead to more pronounced reactive inhibition of irrelevant information.","Journal of Experimental Psychology Learning Memory and Cognition"
"10.1177/0956797618760784","The Link Between Self-Dehumanization and Immoral Behavior","People perceive morality to be distinctively human, with immorality representing a lack of full humanness. In eight experiments, we examined the link between immorality and self-dehumanization, testing both (a) the causal role of immoral behavior on self-dehumanization and (b) the causal role of self-dehumanization on immoral behavior. Studies 1a to 1d showed that people feel less human after behaving immorally and that these effects were not driven by having a negative experience but were unique to experiences of immorality (Study 1d). Studies 2a to 2c showed that self-dehumanization can lead to immoral and antisocial behavior. Study 3 highlighted how self-dehumanization can sometimes produce downward spirals of immorality, demonstrating initial unethical behavior leading to self-dehumanization, which in turn promotes continued dishonesty. These results demonstrate a clear relationship between self-dehumanization and unethical behavior, and they extend previous theorizing on dehumanization.","Psychological Science"
"10.1177/0956797618788882","Inferring Whether Officials Are Corruptible From Looking at Their Faces","While inferences of traits from unfamiliar faces prominently reveal stereotypes, some facial inferences also correlate with real-world outcomes. We investigated whether facial inferences are associated with an important real-world outcome closely linked to the face bearer's behavior: political corruption. In four preregistered studies ( N = 325), participants made trait judgments of unfamiliar government officials on the basis of their photos. Relative to peers with clean records, federal and state officials convicted of political corruption (Study 1) and local officials who violated campaign finance laws (Study 2) were perceived as more corruptible, dishonest, selfish, and aggressive but similarly competent, ambitious, and masculine (Study 3). Mediation analyses and experiments in which the photos were digitally manipulated showed that participants' judgments of how corruptible an official looked were causally influenced by the face width of the stimuli (Study 4). The findings shed new light on the complex causal mechanisms linking facial appearances with social behavior.","Psychological Science"
"10.1111/j.1467-9280.2008.02069.x","Preschoolers' Perspective Taking in Word Learning","When learning new words, do children use a speaker's eye gaze because it reveals referential intent? We conducted two experiments that addressed this question. In Experiment 1, the experimenter left while two novel objects were placed where the child could see both, but the experimenter would be able to see only one. The experimenter returned, looked directly at the mutually visible object, and said either, “There's the [novel word]!” or “Where's the [novel word]?” Two- through 4-year-olds selected the target of the speaker's gaze more often on there trials than on where trials, although only the older children identified the referent correctly at above-chance levels on trials of both types. In Experiment 2, the experimenter placed a novel object where only the child could see it and left while the second object was similarly hidden. When she returned and asked, “Where's the [novel word]?” 2- through 4-year-olds chose the second object at above-chance levels. Preschoolers do not blindly follow gaze, but consider the linguistic and pragmatic context when learning a new word.","Psychological Science"
"10.1177/0956797615625640","Economic Insecurity Increases Physical Pain","The past decade has seen a rise in both economic insecurity and frequency of physical pain. The current research reveals a causal connection between these two growing and consequential social trends. In five studies, we found that economic insecurity produced physical pain and reduced pain tolerance. In a sixth study, with data from 33,720 geographically diverse households across the United States, economic insecurity predicted consumption of over-the-counter painkillers. The link between economic insecurity and physical pain emerged when people experienced the insecurity personally (unemployment), when they were in an insecure context (they were informed that their state had a relatively high level of unemployment), and when they contemplated past and future economic insecurity. Using both experimental-causal-chain and measurement-of-mediation approaches, we also established that the psychological experience of lacking control helped generate the causal link from economic insecurity to physical pain. Meta-analyses including all of our studies testing the link from economic insecurity to physical pain revealed that this link is reliable. Overall, the findings show that it physically hurts to be economically insecure.","Psychological Science"
"10.1073/pnas.1701916114","Belief in free will affects causal attributions when judging others’ behavior","Free will is a cornerstone of our society, and psychological research demonstrates that questioning its existence impacts social behavior. In six studies, we tested whether believing in free will is related to the correspondence bias, which reflects people's automatic tendency to overestimate the influence of internal as compared to external factors when interpreting others' behavior. All studies demonstrate a positive relationship between the strength of the belief in free will and the correspondence bias. Moreover, in two experimental studies, we showed that weakening participants' belief in free will leads to a reduction of the correspondence bias. Finally, the last study demonstrates that believing in free will predicts prescribed punishment and reward behavior, and that this relation is mediated by the correspondence bias. Overall, these studies show that believing in free will impacts fundamental social-cognitive processes that are involved in the understanding of others' behavior.","Proceedings of the National Academy of Sciences"
"10.1037/0022-3514.94.2.94.2.231","Selective exposure and information quantity: How different information quantities moderate decision makers' preference for consistent and inconsistent information.","Empirical evidence on selective exposure to information after decisions is contradictory: Whereas many studies have found a preference for information that is consistent with one's prior decision, some have found a preference for inconsistent information. The authors propose that different available information quantities moderate these contradictory findings. Four studies confirmed this expectation. When confronted with 10 pieces of information, decision makers systematically preferred decision-consistent information, whereas when confronted with only 2 pieces of information, they strongly preferred decision-inconsistent information (Study 1). This effect was not due to differences in processing complexity (Study 2) or dissonance processes (Study 3) but could be traced back to different salient selection criteria: When confronted with 2 pieces of information, the salient selection criterion was information direction (consistent vs. inconsistent), which caused a preference for inconsistent information. In contrast, when confronted with more than 2 pieces of information, the salient selection criterion was expected information quality, which caused a preference for consistent information (Study 4).","Journal of Personality and Social Psychology"
"10.1037/0278-7393.34.2.399","Multidimensional visual statistical learning.","Recent studies of visual statistical learning (VSL) have demonstrated that statistical regularities in sequences of visual stimuli can be automatically extracted, even without intent or awareness. Despite much work on this topic, however, several fundamental questions remain about the nature of VSL. In particular, previous experiments have not explored the underlying units over which VSL operates. In a sequence of colored shapes, for example, does VSL operate over each feature dimension independently, or over multidimensional objects in which color and shape are bound together? The studies reported here demonstrate that VSL can be both object-based and feature-based, in systematic ways based on how different feature dimensions covary. For example, when each shape covaried perfectly with a particular color, VSL was object-based: Observers expressed robust VSL for colored-shape sub-sequences at test but failed when the test items consisted of monochromatic shapes or color patches. When shape and color pairs were partially decoupled during learning, however, VSL operated over features: Observers expressed robust VSL when the feature dimensions were tested separately. These results suggest that VSL is object-based, but that sensitivity to feature correlations in multidimensional sequences (possibly another form of VSL) may in turn help define what counts as an object.","Journal of Experimental Psychology Learning Memory and Cognition"
"10.1037/0022-3514.94.4.615","Social identity contingencies: How diversity cues signal threat or safety for African Americans in mainstream institutions.","This research demonstrates that people at risk of devaluation based on group membership are attuned to cues that signal social identity contingencies--judgments, stereotypes, opportunities, restrictions, and treatments that are tied to one's social identity in a given setting. In 3 experiments, African American professionals were attuned to minority representation and diversity philosophy cues when they were presented as a part of workplace settings. Low minority representation cues coupled with colorblindness (as opposed to valuing diversity) led African American professionals to perceive threatening identity contingencies and to distrust the setting (Experiment 1). The authors then verified that the mechanism mediating the effect of setting cues on trust was identity contingent evaluations (Experiments 2 & 3). The power of social identity contingencies as they relate to underrepresented groups in mainstream institutions is discussed.","Journal of Personality and Social Psychology"
"10.1177/1948550619843931","Identity Over Time: Perceived Similarity Between Selves Predicts Well-Being 10 Years Later","When individuals feel similar to their future self, they are more likely to delay present gratification and make plans for the long run. But do these feelings of similarity actually correspond with heightened well-being for the future self? Theoretically, making patient decisions in the present could lead to a future self who is better off and thus more satisfied. Alternatively, perceived overlap with the future self could cause people to continually deny themselves pleasures in the present, diminishing satisfaction over time. To adjudicate between these possibilities, we use a 10-year longitudinal data set ( N = 4,963) to estimate how thoughts about one’s future self in an initial survey predict life satisfaction 10 years later. Controlling for initial life satisfaction, greater perceived similarity to the future self is linearly associated with greater life satisfaction 10 years after the original prediction, a finding that is robust to a number of alternative analyses.","Social Psychological and Personality Science"
"10.1073/pnas.1505067112","Selfish third parties act as peacemakers by transforming conflicts and promoting cooperation","The tremendous costs of conflict have made humans resourceful not only at warfare but also at peacemaking. Although third parties have acted as peacemakers since the dawn of history, little is known about voluntary, informal third-party intervention in conflict. Here we introduce the Peacemaker Game, a novel experimental paradigm, to model and study the interdependence between disputants and third parties in conflict. In the game, two disputants choose whether to cooperate or compete and a third party chooses whether or not to intervene in the conflict. Intervention introduces side payments that transform the game disputants are playing; it also introduces risk for the third party by making it vulnerable to disputants' choices. Six experiments revealed three robust effects: (i) The mere possibility of third-party intervention significantly increases cooperation in interpersonal and intergroup conflicts; (ii) reducing the risk to third parties dramatically increases intervention rates, to everyone's benefit; and (iii) disputants' cooperation rates are consistently higher than third parties' intervention rates. These findings explain why, how, and when self-interested third parties facilitate peaceful conflict resolution.","Proceedings of the National Academy of Sciences"
"10.1111/j.1467-9280.2008.02062.x","Effects of Fluency on Psychological Distance and Mental Construal (or Why New York Is a Large City, but <i>New York</i> Is a Civilized Jungle)","People construe the world along a continuum from concretely (focusing on specific, local details) to abstractly (focusing on global essences). We show that people are more likely to interpret the world abstractly when they experience cognitive disfluency, or difficulty processing stimuli in the environment, than when they experience cognitive fluency. We observed this effect using three instantiations of fluency: visual perceptual fluency (Study 1b), conceptual priming fluency (Study 2b), and linguistic fluency (Study 3). Adopting the framework of construal theory, we suggest that one mechanism for this effect is perceivers' tendency to interpret disfluently processed stimuli as farther from their current position than fluently processed stimuli (Studies 1a and 2a).","Psychological Science"
"10.1111/j.1467-9280.2008.02066.x","More Than Meets the Eye","We investigated the effects of language on vision by focusing on a well-known problem: the binding and maintenance of color-location conjunctions. Four-year-olds performed a task in which they saw a target (e.g., a split square, red on the left and green on the right) followed by a brief delay and then were asked to find the target in an array including the target, its reflection (e.g., red on the right and green on the left), and a square with a different geometric split. Errors were overwhelmingly reflections. This finding shows that the children failed to maintain color-location conjunctions. Performance improved when targets were accompanied by sentences specifying color and direction (e.g., “the red is on the left”), but not when the conjunction was highlighted using a nonlinguistic cue (e.g., flashing, pointing, changes in size), nor when sentences specified a nondirectional relationship (e.g., “the red is touching the green”). The relation between children's matching performance and their long-term knowledge of directional terms suggests two distinct mechanisms by which language can temporarily bridge delays, providing more stable representations.","Psychological Science"
"10.1111/j.1467-9280.2008.02227.x","With a Clean Conscience","Theories of moral judgment have long emphasized reasoning and conscious thought while downplaying the role of intuitive and contextual influences. However, recent research has demonstrated that incidental feelings of disgust can influence moral judgments and make them more severe. This study involved two experiments demonstrating that the reverse effect can occur when the notion of physical purity is made salient, thus making moral judgments less severe. After having the cognitive concept of cleanliness activated (Experiment 1) or after physically cleansing themselves after experiencing disgust (Experiment 2), participants found certain moral actions to be less wrong than did participants who had not been exposed to a cleanliness manipulation. The findings support the idea that moral judgment can be driven by intuitive processes, rather than deliberate reasoning. One of those intuitions appears to be physical purity, because it has a strong connection to moral purity.","Psychological Science"
"10.1163/156853706776931222","The Folk Concepts of Intention and Intentional Action: A Cross-Cultural Study","Abstract Recent studies point to a surprising divergence between people's use of the concept of intention and their use of the concept of acting intentionally. It seems that people's application of the concept of intention is determined by their beliefs about the agent's psychological states whereas their use of the concept of acting intentionally is determined at least in part by their beliefs about the moral status of the behavior itself (i.e., by their beliefs about whether the behavior is morally good or morally bad). These findings raise a number of difficult questions about the relationship between the concept of intention and the concept of acting intentionally. The present paper addresses those questions using a variety of different methods, including conceptual analysis, psychological experimentation, and an examination of people's use of certain expressions in other languages.","Journal of Cognition and Culture"
"10.1037/0022-3514.94.2.94.2.196","Opening the mind to close it: Considering a message in light of important values increases message processing and later resistance to change.","Past research showed that considering a persuasive message in light of important rather than unimportant values creates attitudes that resist later attack. The traditional explanation is that the attitudes come to express the value or that a cognitive link between the value and attitude enhances resistance. However, the current research showed that another explanation is plausible. Similar to other sources of involvement, considering important rather than unimportant values increases processing of the message considered in light of those values. This occurs when the values are identified as normatively high or low in importance and when the perceived importance differs across participants for the same values. The increase in processing creates resistance to later attacks, and unlike past research, individual-level measures of initial amount of processing mediate value importance effects on later resistance to change. Important values motivate processing because they increase personal involvement with the issue, rather than creating attitudes that represent or express core values.","Journal of Personality and Social Psychology"
"10.1037/0278-7393.34.1.80","An attention-based associative account of adjacent and nonadjacent dependency learning.","In 5 experiments, results showed that when participants are faced with materials embedding relations between both adjacent and nonadjacent elements, they learn exclusively the type of relations they had to actively process in order to meet the task demands, irrespective of the spatial contiguity of the paired elements. These results are consonant with current theories positing that attention is a necessary condition for learning. More important, the results provide support for a more radical conception, in which the joint attentional processing of 2 events is also a sufficient condition for learning the relation between them. The well-documented effect of contiguity could be a by-product of the fact that attention generally focuses on contiguous events. This reappraisal considerably extends the scope of approaches based on associative or statistical processes.","Journal of Experimental Psychology Learning Memory and Cognition"
"10.1177/0956797611414726","A Single Exposure to the American Flag Shifts Support Toward Republicanism up to 8 Months Later","There is scant evidence that incidental cues in the environment significantly alter people’s political judgments and behavior in a durable way. We report that a brief exposure to the American flag led to a shift toward Republican beliefs, attitudes, and voting behavior among both Republican and Democratic participants, despite their overwhelming belief that exposure to the flag would not influence their behavior. In Experiment 1, which was conducted online during the 2008 U.S. presidential election, a single exposure to an American flag resulted in a significant increase in participants’ Republican voting intentions, voting behavior, political beliefs, and implicit and explicit attitudes, with some effects lasting 8 months after the exposure to the prime. In Experiment 2, we replicated the findings more than a year into the current Democratic presidential term. These results constitute the first evidence that nonconscious priming effects from exposure to a national flag can bias the citizenry toward one political party and can have considerable durability.","Psychological Science"
"10.1037/0278-7393.34.3.460","Stereotypes and retrieval-provoked illusory source recollections.","When expectations and stereotypes are activated at retrieval, they spontaneously create distorted and illusory recollections that are consistent with these expectations. Participants studied doctor (physician)-related and lawyer-related statements that were presented by 2 different people. When informed, on a subsequent source memory test, (i.e., of who presented what) that one of the study sources was actually a doctor and the other source was a lawyer, there was a strong tendency to attribute the test items in a stereotype-consistent manner. In 3 experiments, participants frequently reported recollecting specific details, such as via ""remember"" judgments, to justify their stereotype-consistent but incorrect responses. These experiments rule out explanations involving either the misattribution of strong familiarity or differences in the bias to making remember responses as accounts for the illusory source attributions. Instead, the illusory recollections are consistent with the notion that recollective experience is manufactured from both the information in the memory trace and information in the retrieval environment, such as an individual's expectations, stereotypes, and general knowledge.","Journal of Experimental Psychology Learning Memory and Cognition"
"10.1037/0022-3514.94.1.116","A needs-based model of reconciliation: Satisfying the differential emotional needs of victim and perpetrator as a key to promoting reconciliation.","The authors propose that conflict threatens different psychological resources of victims and perpetrators and that these threats contribute to the maintenance of conflict (A. Nadler, 2002; A. Nadler & I. Liviatan, 2004; A. Nadler & N. Shnabel, in press). On the basis of this general proposition, the authors developed a needs-based model of reconciliation that posits that being a victim is associated with a threat to one's status and power, whereas being a perpetrator threatens one's image as moral and socially acceptable. To counter these threats, victims must restore their sense of power, whereas perpetrators must restore their public moral image. A social exchange interaction in which these threats are removed should enhance the parties' willingness to reconcile. The results of 4 studies on interpersonal reconciliation support these hypotheses. Applied and theoretical implications of this model are discussed.","Journal of Personality and Social Psychology"
"10.1016/0010-0285(83)90002-6","Schema induction and analogical transfer","An analysis of the process of analogical thinking predicts that analogies will be noticed on the basis of semantic retrieval cues and that the induction of a general schema from concrete analogs will facilitate analogical transfer. These predictions were tested in experiments in which subjects first read one or more stories illustrating problems and their solutions and then attempted to solve a disparate but analogous transfer problem. The studies in Part I attempted to foster the abstraction of a problem schema from a single story analog by means of summarization instructions, a verbal statement of the underlying principle, or a diagrammatic representation of it. None of these devices achieved a notable degree of sucess. In contrast, the experiments in Part II demonstrated that if two prior analogs were given, subjects often derived a problem schema as an incidental product of describing the similarities of the analogs. The quality of the induced schema was highly predictive of subsequent transfer performance. Furthermore, the verbal statements and diagrams that had failed to facilitate transfer from one analog proved highly beneficial when paired with two. The function of examples in learning was discussed in light of the present study. © 1983.","Cognitive Psychology"
"10.1126/science.1238041","Poverty Impedes Cognitive Function","Burden of Poverty Lacking money or time can lead one to make poorer decisions, possibly because poverty imposes a cognitive load that saps attention and reduces effort. Mani et al. (p. 976 ; see the Perspective by Vohs) gathered evidence from shoppers in a New Jersey mall and from farmers in Tamil Nadu, India. They found that considering a projected financial decision, such as how to pay for a car repair, affects people's performance on unrelated spatial and reasoning tasks. Lower-income individuals performed poorly if the repairs were expensive but did fine if the cost was low, whereas higher-income individuals performed well in both conditions, as if the projected financial burden imposed no cognitive pressure. Similarly, the sugarcane farmers from Tamil Nadu performed these tasks better after harvest than before.","Science"
"10.1037/0022-3514.94.4.600","A social functional approach to emotions in bargaining: When communicating anger pays and when it backfires.","Previous research on the communication of emotions has suggested that bargainers obtain higher outcomes if they communicate anger than if they communicate happiness because anger signals higher limits, which in turn leads opponents to give in. Building on a social functional account of communicated emotions, the authors demonstrate that the behavioral consequences of communicated anger strongly depend on structural characteristics of the bargaining situation. The results of 3 experimental studies on ultimatum bargaining corroborate the notion that communicated anger signals higher limits and that emotion effects are contingent on bargainers' expectation that low offers will be rejected. The data also indicate, however, that communicating anger in bargaining may backfire. The findings suggest that bargainers who communicate anger may obtain lower outcomes (a) when their opponent has a possibility to deceive them during bargaining and (b) when the consequences of rejecting their opponent's offer are low. Taken together, the current article reveals the boundary conditions of successful communication of anger in bargaining.","Journal of Personality and Social Psychology"
"10.1111/j.1467-9280.2008.02081.x","Detecting the Snake in the Grass","Snakes are among the most common targets of fears and phobias. In visual detection tasks, adults detect their presence more rapidly than the presence of other kinds of visual stimuli. We report evidence that very young children share this attentional bias. In three experiments, preschool children and adults were asked to find a single target picture among an array of eight distractors. Both the children and the adults detected snakes more rapidly than three types of nonthreatening stimuli (flowers, frogs, and caterpillars). These results provide the first evidence of enhanced visual detection of evolutionarily relevant threat stimuli in young children.","Psychological Science"
"10.1073/pnas.1607330114","Mere experience of low subjective socioeconomic status stimulates appetite and food intake","Among social animals, subordinate status or low social rank is associated with increased caloric intake and weight gain. This may reflect an adaptive behavioral pattern that promotes acquisition of caloric resources to compensate for low social resources that may otherwise serve as a buffer against environmental demands. Similarly, diet-related health risks like obesity and diabetes are disproportionately more prevalent among people of low socioeconomic resources. Whereas this relationship may be associated with reduced financial and material resources to support healthier lifestyles, it remains unclear whether the subjective experience of low socioeconomic status may alone be sufficient to stimulate consumption of greater calories. Here we show that the mere feeling of lower socioeconomic status relative to others stimulates appetite and food intake. Across four studies, we found that participants who were experimentally induced to feel low (vs. high or neutral) socioeconomic status subsequently exhibited greater automatic preferences for high-calorie foods (e.g., pizza, hamburgers), as well as intake of greater calories from snack and meal contexts. Moreover, these results were observed even in the absence of differences in access to financial resources. Our results demonstrate that among humans, the experience of low social class may contribute to preferences and behaviors that risk excess energy intake. These findings suggest that psychological and physiological systems regulating appetite may also be sensitive to subjective feelings of deprivation for critical nonfood resources (e.g., social standing). Importantly, efforts to mitigate the socioeconomic gradient in obesity may also need to address the psychological experience of low social status.","Proceedings of the National Academy of Sciences"
"10.1038/s41598-019-57204-1","Controlling for Participants’ Viewing Distance in Large-Scale, Psychophysical Online Experiments Using a Virtual Chinrest","While online experiments have shown tremendous potential to study larger and more diverse participant samples than is possible in the lab, the uncontrolled online environment has prohibited many types of psychophysical studies due to difficulties controlling the viewing distance and stimulus size. We introduce the Virtual Chinrest, a method that measures a participant's viewing distance in the web browser by detecting a participant's blind spot location. This makes it possible to automatically adjust stimulus configurations based on an individual's viewing distance. We validated the Virtual Chinrest in two laboratory studies in which we varied the viewing distance and display size, showing that our method estimates participants' viewing distance with an average error of 3.25 cm. We additionally show that by using the Virtual Chinrest we can reliably replicate measures of visual crowding, which depends on a precise calculation of visual angle, in an uncontrolled online environment. An online experiment with 1153 participants further replicated the findings of prior laboratory work, demonstrating how visual crowding increases with eccentricity and extending this finding by showing that young children, older adults and people with dyslexia all exhibit increased visual crowding, compared to adults without dyslexia. Our method provides a promising pathway to web-based psychophysical research requiring controlled stimulus geometry.","Scientific Reports"
