doi,field_gemini,secondary_field_gemini,field_confidence_gemini,field_manual,agree,agree_any,field_gpt,secondary_field_gpt,gpt_agree_any
10.1111/j.1467-9280.2008.02078.x,cognitive_psychology,social_psychology,0.85,cognitive_psychology,TRUE,TRUE,cognitive_psychology,NA,TRUE
10.1111/j.1467-9280.2008.02044.x,cognitive_psychology,biological_neuropsychology,0.9,cognitive_psychology,TRUE,TRUE,cognitive_psychology,NA,TRUE
10.1111/j.1467-9280.2008.02077.x,cognitive_psychology,biological_neuropsychology,0.85,biological_neuropsychology,FALSE,TRUE,cognitive_psychology,biological_neuropsychology,TRUE
10.1111/j.1551-6709.2010.01164.x,cognitive_psychology,NA,0.99,cognitive_psychology,TRUE,TRUE,cognitive_psychology,NA,TRUE
10.1177/0956797611429579,social_psychology,cognitive_psychology,0.9,social_psychology,TRUE,TRUE,social_psychology,NA,TRUE
10.1177/0956797620927967,cognitive_psychology,NA,0.95,cognitive_psychology,TRUE,TRUE,cognitive_psychology,NA,TRUE
10.1037/0022-3514.94.1.16,social_psychology,methods_evaluation_psychology,0.95,social_psychology,TRUE,TRUE,social_psychology,NA,TRUE
10.1177/1948550612457688,social_psychology,differential_personality_diagnostics,0.95,social_psychology,TRUE,TRUE,social_psychology,NA,TRUE
10.1037/0278-7393.34.1.65,cognitive_psychology,NA,0.99,cognitive_psychology,TRUE,TRUE,cognitive_psychology,NA,TRUE
10.1111/j.1467-9280.2008.02098.x,cognitive_psychology,NA,0.99,cognitive_psychology,TRUE,TRUE,cognitive_psychology,NA,TRUE
10.1037/0022-3514.94.3.382,social_psychology,cognitive_psychology,0.95,cognitive_psychology,FALSE,TRUE,social_psychology,cognitive_psychology,TRUE
10.1111/j.1467-9280.2008.02052.x,social_psychology,cognitive_psychology,0.95,social_psychology,TRUE,TRUE,social_psychology,cognitive_psychology,TRUE
10.1111/j.1467-9280.2008.02040.x,social_psychology,NA,0.99,social_psychology,TRUE,TRUE,social_psychology,NA,TRUE
10.1037/0278-7393.34.1.230,cognitive_psychology,NA,1,cognitive_psychology,TRUE,TRUE,cognitive_psychology,NA,TRUE
10.1037/0278-7393.34.1.128,cognitive_psychology,NA,1,cognitive_psychology,TRUE,TRUE,cognitive_psychology,NA,TRUE
10.1007/s40732-020-00453-8,clinical_psychology,cognitive_psychology,0.85,cognitive_psychology,FALSE,TRUE,clinical_psychology,NA,FALSE
10.1073/pnas.1508932113,social_psychology,NA,0.95,social_psychology,TRUE,TRUE,social_psychology,NA,TRUE
10.1017/S1366728914000273,cognitive_psychology,NA,0.95,cognitive_psychology,TRUE,TRUE,cognitive_psychology,NA,TRUE
10.1037/0022-3514.94.1.158,social_psychology,developmental_psychology,0.85,social_psychology,TRUE,TRUE,social_psychology,NA,TRUE
10.4148/1944-9771.1299,social_psychology,clinical_psychology,0.8,clinical_psychology,FALSE,TRUE,social_psychology,clinical_psychology,TRUE
10.1177/0956797610397956,cognitive_psychology,NA,0.99,cognitive_psychology,TRUE,TRUE,cognitive_psychology,NA,TRUE
10.1037/0022-3514.94.4.718,differential_personality_diagnostics,developmental_psychology,0.85,differential_personality_diagnostics,TRUE,TRUE,differential_personality_diagnostics,developmental_psychology,TRUE
10.1037/0278-7393.34.1.97,cognitive_psychology,NA,0.99,cognitive_psychology,TRUE,TRUE,cognitive_psychology,NA,TRUE
10.1037/0022-3514.94.1.1,social_psychology,biological_neuropsychology,0.9,biological_neuropsychology,FALSE,TRUE,social_psychology,biological_neuropsychology,TRUE
10.1016/j.cognition.2017.06.025,cognitive_psychology,NA,1,cognitive_psychology,TRUE,TRUE,cognitive_psychology,NA,TRUE
10.1111/j.1467-9280.2008.02080.x,cognitive_psychology,biological_neuropsychology,0.95,cognitive_psychology,TRUE,TRUE,cognitive_psychology,NA,TRUE
10.1111/j.1467-9280.2007.02004.x,biological_neuropsychology,social_psychology,0.85,biological_neuropsychology,TRUE,TRUE,biological_neuropsychology,cognitive_psychology,TRUE
10.1111/j.1467-9280.2008.02091.x,biological_neuropsychology,social_psychology,0.85,social_psychology,FALSE,TRUE,social_psychology,biological_neuropsychology,TRUE
10.1037/0022-3514.94.1.48,social_psychology,methods_evaluation_psychology,0.95,social_psychology,TRUE,TRUE,social_psychology,NA,TRUE
10.1037/0278-7393.34.3.439,cognitive_psychology,NA,0.99,cognitive_psychology,TRUE,TRUE,cognitive_psychology,NA,TRUE
10.1037/0022-3514.94.2.245,social_psychology,differential_personality_diagnostics,0.95,social_psychology,TRUE,TRUE,social_psychology,NA,TRUE
10.1177/0956797619854706,social_psychology,NA,0.95,social_psychology,TRUE,TRUE,social_psychology,NA,TRUE
10.1073/pnas.1519401113,social_psychology,biological_neuropsychology,0.95,social_psychology,TRUE,TRUE,social_psychology,NA,TRUE
10.1177/0956797618780643,social_psychology,differential_personality_diagnostics,0.85,cognitive_psychology,FALSE,FALSE,social_psychology,NA,FALSE
10.1073/pnas.1805327115,cognitive_psychology,social_psychology,0.85,cognitive_psychology,TRUE,TRUE,cognitive_psychology,NA,TRUE
10.1037/0278-7393.34.1.186,cognitive_psychology,NA,0.99,cognitive_psychology,TRUE,TRUE,cognitive_psychology,NA,TRUE
10.1037/0022-3514.83.5.1239,social_psychology,NA,0.99,social_psychology,TRUE,TRUE,social_psychology,NA,TRUE
10.1037/0022-3514.94.1.91,social_psychology,NA,0.99,social_psychology,TRUE,TRUE,social_psychology,NA,TRUE
10.1037/0022-3514.94.4.672,differential_personality_diagnostics,cognitive_psychology,0.85,cognitive_psychology,FALSE,TRUE,cognitive_psychology,differential_personality_diagnostics,TRUE
10.1126/science.1250830,cognitive_psychology,social_psychology,0.7,cognitive_psychology,TRUE,TRUE,cognitive_psychology,NA,TRUE
10.1177/0956797612449177,social_psychology,NA,0.95,social_psychology,TRUE,TRUE,social_psychology,NA,TRUE
10.1177/0956797615588195,cognitive_psychology,social_psychology,0.75,cognitive_psychology,TRUE,TRUE,cognitive_psychology,NA,TRUE
10.1073/pnas.1722664115,social_psychology,cognitive_psychology,0.95,social_psychology,TRUE,TRUE,social_psychology,cognitive_psychology,TRUE
10.1177/0956797615572231,social_psychology,cognitive_psychology,0.85,cognitive_psychology,FALSE,TRUE,cognitive_psychology,NA,TRUE
10.1073/pnas.1706913114,social_psychology,cognitive_psychology,0.95,cognitive_psychology,FALSE,TRUE,social_psychology,NA,FALSE
10.1073/pnas.1805284115,social_psychology,NA,0.95,social_psychology,TRUE,TRUE,social_psychology,NA,TRUE
10.1037/xge0001195,cognitive_psychology,developmental_psychology,0.85,cognitive_psychology,TRUE,TRUE,developmental_psychology,NA,FALSE
10.1111/j.1467-9280.2009.02426.x,cognitive_psychology,social_psychology,0.75,cognitive_psychology,TRUE,TRUE,cognitive_psychology,NA,TRUE
10.1073/pnas.1523586113,cognitive_psychology,social_psychology,0.75,cognitive_psychology,TRUE,TRUE,cognitive_psychology,NA,TRUE
10.1177/0956797611434537,social_psychology,NA,0.95,social_psychology,TRUE,TRUE,social_psychology,NA,TRUE
10.1177/0956797616669947,social_psychology,NA,0.95,social_psychology,TRUE,TRUE,social_psychology,cognitive_psychology,TRUE
10.1177/0956797611435919,social_psychology,cognitive_psychology,0.95,cognitive_psychology,FALSE,TRUE,differential_personality_diagnostics,social_psychology,FALSE
10.1111/j.1467-9280.2008.02039.x,cognitive_psychology,NA,0.95,cognitive_psychology,TRUE,TRUE,cognitive_psychology,NA,TRUE
10.1111/j.1467-9280.2008.02046.x,cognitive_psychology,NA,0.99,cognitive_psychology,TRUE,TRUE,cognitive_psychology,NA,TRUE
10.1037/0022-3514.94.5.871,social_psychology,NA,0.99,social_psychology,TRUE,TRUE,social_psychology,NA,TRUE
10.1037//0022-3514.83.1.44,social_psychology,educational_psychology,0.95,social_psychology,TRUE,TRUE,social_psychology,NA,TRUE
10.1111/j.1467-9280.2008.02043.x,cognitive_psychology,developmental_psychology,0.85,developmental_psychology,FALSE,TRUE,cognitive_psychology,developmental_psychology,TRUE
10.1037/a0013748,social_psychology,NA,0.99,social_psychology,TRUE,TRUE,social_psychology,NA,TRUE
10.1037/0022-3514.74.3.774,social_psychology,differential_personality_diagnostics,0.85,social_psychology,TRUE,TRUE,social_psychology,cognitive_psychology,TRUE
10.1111/j.1467-9280.2008.02042.x,cognitive_psychology,NA,0.95,cognitive_psychology,TRUE,TRUE,cognitive_psychology,NA,TRUE
10.1073/pnas.2009030117,cognitive_psychology,social_psychology,0.8,social_psychology,FALSE,TRUE,social_psychology,NA,TRUE
10.1038/nclimate2093,cognitive_psychology,social_psychology,0.85,social_psychology,FALSE,TRUE,cognitive_psychology,social_psychology,TRUE
10.1073/pnas.1216438110,cognitive_psychology,NA,0.95,cognitive_psychology,TRUE,TRUE,cognitive_psychology,NA,TRUE
10.1073/pnas.1516047113,social_psychology,cognitive_psychology,0.95,social_psychology,TRUE,TRUE,social_psychology,NA,TRUE
10.1073/pnas.1705238114,social_psychology,NA,0.95,social_psychology,TRUE,TRUE,social_psychology,NA,TRUE
10.1037/0278-7393.34.3.495,cognitive_psychology,NA,0.99,cognitive_psychology,TRUE,TRUE,cognitive_psychology,NA,TRUE
10.1037/0278-7393.34.3.524,cognitive_psychology,NA,1,cognitive_psychology,TRUE,TRUE,cognitive_psychology,NA,TRUE
10.1037/0022-3514.95.2.420,social_psychology,differential_personality_diagnostics,0.95,social_psychology,TRUE,TRUE,social_psychology,NA,TRUE
10.1037/0278-7393.34.1.219,cognitive_psychology,NA,0.99,methods_evaluation_psychology,FALSE,FALSE,cognitive_psychology,NA,FALSE
10.1073/pnas.1610834113,social_psychology,NA,0.95,social_psychology,TRUE,TRUE,social_psychology,NA,TRUE
10.1038/s41598-018-30314-y,cognitive_psychology,NA,0.95,cognitive_psychology,TRUE,TRUE,cognitive_psychology,NA,TRUE
10.1177/01461672952111004,cognitive_psychology,methods_evaluation_psychology,0.75,methods_evaluation_psychology,FALSE,TRUE,cognitive_psychology,methods_evaluation_psychology,TRUE
10.1073/pnas.2218961120,social_psychology,cognitive_psychology,0.85,cognitive_psychology,FALSE,TRUE,social_psychology,NA,FALSE
10.3758/s13428-021-01694-3,methods_evaluation_psychology,NA,0.99,methods_evaluation_psychology,TRUE,TRUE,methods_evaluation_psychology,NA,TRUE
10.1037/a0019006,differential_personality_diagnostics,cognitive_psychology,0.65,differential_personality_diagnostics,TRUE,TRUE,differential_personality_diagnostics,cognitive_psychology,TRUE
10.1111/j.1467-9280.2008.02049.x,cognitive_psychology,NA,0.99,cognitive_psychology,TRUE,TRUE,cognitive_psychology,NA,TRUE
10.1073/pnas.1501592112,social_psychology,methods_evaluation_psychology,0.95,social_psychology,TRUE,TRUE,social_psychology,NA,TRUE
10.3758/BF03197186,cognitive_psychology,NA,0.95,cognitive_psychology,TRUE,TRUE,cognitive_psychology,NA,TRUE
10.1016/0022-1031(77)90049-X,social_psychology,cognitive_psychology,0.99,social_psychology,TRUE,TRUE,social_psychology,NA,TRUE
10.1016/j.jml.2006.02.004,cognitive_psychology,NA,0.99,cognitive_psychology,TRUE,TRUE,cognitive_psychology,NA,TRUE
10.1073/pnas.1707040114,cognitive_psychology,NA,0.95,cognitive_psychology,TRUE,TRUE,cognitive_psychology,NA,TRUE
10.1371/journal.pone.0071475,cognitive_psychology,NA,0.95,cognitive_psychology,TRUE,TRUE,cognitive_psychology,NA,TRUE
10.1037/0022-3514.94.4.647,social_psychology,NA,0.99,social_psychology,TRUE,TRUE,social_psychology,NA,TRUE
10.1073/pnas.1516868113,social_psychology,cognitive_psychology,0.9,social_psychology,TRUE,TRUE,social_psychology,NA,TRUE
10.1016/j.cognition.2016.06.011,cognitive_psychology,NA,0.99,cognitive_psychology,TRUE,TRUE,cognitive_psychology,NA,TRUE
10.1016/j.jesp.2018.05.006,social_psychology,cognitive_psychology,0.95,social_psychology,TRUE,TRUE,social_psychology,NA,TRUE
10.1111/j.1467-9280.2006.01704.x,cognitive_psychology,NA,0.99,cognitive_psychology,TRUE,TRUE,cognitive_psychology,NA,TRUE
10.1111/j.1467-9280.2008.02061.x,biological_neuropsychology,social_psychology,0.95,biological_neuropsychology,TRUE,TRUE,biological_neuropsychology,NA,TRUE
10.1126/science.1190792,developmental_psychology,social_psychology,0.85,social_psychology,FALSE,TRUE,social_psychology,NA,TRUE
10.1002/bdm.586,cognitive_psychology,NA,0.95,cognitive_psychology,TRUE,TRUE,cognitive_psychology,NA,TRUE
10.1016/j.neuroimage.2006.11.048,biological_neuropsychology,cognitive_psychology,0.95,cognitive_psychology,FALSE,TRUE,biological_neuropsychology,cognitive_psychology,TRUE
10.1371/journal.pone.0154854,cognitive_psychology,differential_personality_diagnostics,0.95,methods_evaluation_psychology,FALSE,FALSE,cognitive_psychology,NA,FALSE
10.1177/0956797615573516,social_psychology,NA,0.95,social_psychology,TRUE,TRUE,social_psychology,NA,TRUE
10.1037/0278-7393.34.3.478,cognitive_psychology,NA,1,cognitive_psychology,TRUE,TRUE,cognitive_psychology,NA,TRUE
10.1037/a0032108,cognitive_psychology,NA,0.95,educational_psychology,FALSE,FALSE,cognitive_psychology,NA,FALSE
10.1016/j.obhdp.2004.12.002,cognitive_psychology,NA,0.95,cognitive_psychology,TRUE,TRUE,cognitive_psychology,NA,TRUE
10.1037/0278-7393.34.1.146,cognitive_psychology,NA,1,cognitive_psychology,TRUE,TRUE,cognitive_psychology,NA,TRUE
10.1177/0956797614563108,social_psychology,cognitive_psychology,0.85,social_psychology,TRUE,TRUE,cognitive_psychology,social_psychology,TRUE
10.1037/0096-3445.136.4.569,cognitive_psychology,social_psychology,0.95,cognitive_psychology,TRUE,TRUE,cognitive_psychology,NA,TRUE
10.1037/0278-7393.34.1.249,cognitive_psychology,NA,0.99,cognitive_psychology,TRUE,TRUE,cognitive_psychology,NA,TRUE
10.1177/0146167214524992,social_psychology,developmental_psychology,0.95,developmental_psychology,FALSE,TRUE,social_psychology,NA,FALSE
10.1126/science.1186799,social_psychology,cognitive_psychology,0.9,cognitive_psychology,FALSE,TRUE,cognitive_psychology,NA,TRUE
10.1037/0022-3514.94.3.429,social_psychology,differential_personality_diagnostics,0.95,social_psychology,TRUE,TRUE,social_psychology,NA,TRUE
10.3389/fpsyg.2014.01276,social_psychology,cognitive_psychology,0.85,cognitive_psychology,FALSE,TRUE,social_psychology,cognitive_psychology,TRUE
10.1037/0022-3514.95.1.76,social_psychology,NA,0.99,social_psychology,TRUE,TRUE,social_psychology,NA,TRUE
10.1037/0278-7393.34.2.430,cognitive_psychology,NA,0.99,cognitive_psychology,TRUE,TRUE,cognitive_psychology,NA,TRUE
10.1037/0021-9010.77.4.419,cognitive_psychology,occupational_organisational_business_psychology,0.75,social_psychology,FALSE,FALSE,occupational_organisational_business_psychology,cognitive_psychology,FALSE
10.1177/0956797619879441,developmental_psychology,cognitive_psychology,0.85,cognitive_psychology,FALSE,TRUE,developmental_psychology,cognitive_psychology,TRUE
10.1016/j.jesp.2020.104080,social_psychology,educational_psychology,0.95,educational_psychology,FALSE,TRUE,social_psychology,educational_psychology,TRUE
10.1177/0956797616685771,social_psychology,NA,0.95,social_psychology,TRUE,TRUE,social_psychology,NA,TRUE
10.1037/a0031047,social_psychology,cognitive_psychology,0.95,social_psychology,TRUE,TRUE,social_psychology,NA,TRUE
10.1073/pnas.0908963106,cognitive_psychology,NA,0.95,cognitive_psychology,TRUE,TRUE,cognitive_psychology,NA,TRUE
10.1111/j.1467-9280.2008.02053.x,biological_neuropsychology,cognitive_psychology,0.9,biological_neuropsychology,TRUE,TRUE,biological_neuropsychology,cognitive_psychology,TRUE
10.1111/j.1467-9280.2008.02093.x,differential_personality_diagnostics,cognitive_psychology,0.85,differential_personality_diagnostics,TRUE,TRUE,differential_personality_diagnostics,cognitive_psychology,TRUE
10.1037/0278-7393.34.1.237,cognitive_psychology,NA,0.99,cognitive_psychology,TRUE,TRUE,cognitive_psychology,NA,TRUE
10.1037/0278-7393.34.2.353,cognitive_psychology,NA,0.99,cognitive_psychology,TRUE,TRUE,cognitive_psychology,NA,TRUE
10.1177/0956797618806296,cognitive_psychology,NA,0.99,cognitive_psychology,TRUE,TRUE,cognitive_psychology,NA,TRUE
10.1111/j.1467-9280.2008.02057.x,cognitive_psychology,NA,0.95,cognitive_psychology,TRUE,TRUE,cognitive_psychology,NA,TRUE
10.1037/0022-3514.94.3.516,social_psychology,differential_personality_diagnostics,0.95,social_psychology,TRUE,TRUE,social_psychology,NA,TRUE
10.1177/0146167207309195,social_psychology,NA,0.99,social_psychology,TRUE,TRUE,social_psychology,NA,TRUE
10.1037/a0015960,social_psychology,differential_personality_diagnostics,0.95,social_psychology,TRUE,TRUE,social_psychology,differential_personality_diagnostics,TRUE
10.1126/science.1221936,cognitive_psychology,NA,0.99,cognitive_psychology,TRUE,TRUE,cognitive_psychology,NA,TRUE
10.1037/pspi0000109,social_psychology,differential_personality_diagnostics,0.85,differential_personality_diagnostics,FALSE,TRUE,differential_personality_diagnostics,social_psychology,TRUE
10.1037/0278-7393.34.3.546,cognitive_psychology,NA,1,cognitive_psychology,TRUE,TRUE,cognitive_psychology,NA,TRUE
10.1016/j.jesp.2020.104019,social_psychology,NA,0.99,social_psychology,TRUE,TRUE,social_psychology,NA,TRUE
10.1037/0022-3514.94.4.579,social_psychology,cognitive_psychology,0.95,social_psychology,TRUE,TRUE,social_psychology,cognitive_psychology,TRUE
10.1111/j.1467-9280.2008.02041.x,cognitive_psychology,NA,0.95,cognitive_psychology,TRUE,TRUE,cognitive_psychology,NA,TRUE
10.1037/a0019689,social_psychology,biological_neuropsychology,0.85,social_psychology,TRUE,TRUE,social_psychology,cognitive_psychology,TRUE
10.1037/0022-3514.94.4.560,social_psychology,cognitive_psychology,0.95,cognitive_psychology,FALSE,TRUE,social_psychology,cognitive_psychology,TRUE
10.1073/pnas.2120668119,social_psychology,NA,0.9,social_psychology,TRUE,TRUE,social_psychology,NA,TRUE
10.1037/0278-7393.34.2.408,cognitive_psychology,NA,1,cognitive_psychology,TRUE,TRUE,cognitive_psychology,NA,TRUE
10.1111/j.1467-9280.2008.02136.x,cognitive_psychology,NA,0.95,methods_evaluation_psychology,FALSE,FALSE,cognitive_psychology,NA,FALSE
10.1016/j.neuropsychologia.2009.05.011,biological_neuropsychology,cognitive_psychology,0.95,cognitive_psychology,FALSE,TRUE,biological_neuropsychology,cognitive_psychology,TRUE
10.1037/a0021524,social_psychology,cognitive_psychology,0.7,social_psychology,TRUE,TRUE,cognitive_psychology,differential_personality_diagnostics,FALSE
10.1177/0956797614558718,cognitive_psychology,social_psychology,0.85,cognitive_psychology,TRUE,TRUE,cognitive_psychology,NA,TRUE
10.1111/1467-9280.00334,cognitive_psychology,NA,0.95,cognitive_psychology,TRUE,TRUE,cognitive_psychology,NA,TRUE
10.1016/j.obhdp.2006.10.001,occupational_organisational_business_psychology,social_psychology,0.85,occupational_organisational_business_psychology,TRUE,TRUE,occupational_organisational_business_psychology,social_psychology,TRUE
10.1016/j.biopsycho.2018.08.007,biological_neuropsychology,NA,0.99,biological_neuropsychology,TRUE,TRUE,biological_neuropsychology,NA,TRUE
10.1093/geronb/gbx099,developmental_psychology,social_psychology,0.95,developmental_psychology,TRUE,TRUE,social_psychology,developmental_psychology,TRUE
10.1037/0022-3514.94.3.495,social_psychology,NA,0.95,social_psychology,TRUE,TRUE,social_psychology,NA,TRUE
10.1073/pnas.1717092115,cognitive_psychology,clinical_psychology,0.8,cognitive_psychology,TRUE,TRUE,cognitive_psychology,clinical_psychology,TRUE
10.1037/0278-7393.34.1.204,cognitive_psychology,NA,0.99,cognitive_psychology,TRUE,TRUE,cognitive_psychology,NA,TRUE
10.1177/0956797614547705,cognitive_psychology,NA,0.95,cognitive_psychology,TRUE,TRUE,cognitive_psychology,NA,TRUE
10.1037/a0012833,social_psychology,cognitive_psychology,0.85,cognitive_psychology,FALSE,TRUE,social_psychology,cognitive_psychology,TRUE
10.1111/j.1551-6709.2010.01161.x,cognitive_psychology,NA,0.99,cognitive_psychology,TRUE,TRUE,cognitive_psychology,NA,TRUE
10.1126/science.1189993,social_psychology,cognitive_psychology,0.9,social_psychology,TRUE,TRUE,social_psychology,cognitive_psychology,TRUE
10.1002/jeab.432,cognitive_psychology,NA,0.9,cognitive_psychology,TRUE,TRUE,cognitive_psychology,NA,TRUE
10.1016/j.jesp.2005.05.001,social_psychology,cognitive_psychology,0.85,cognitive_psychology,FALSE,TRUE,social_psychology,cognitive_psychology,TRUE
10.1126/science.1222426,cognitive_psychology,NA,0.95,psychology_general,FALSE,FALSE,cognitive_psychology,NA,FALSE
djärv_2018,cognitive_psychology,NA,0.9,cognitive_psychology,TRUE,TRUE,NA,NA,NA
10.1073/pnas.1606574113,social_psychology,cognitive_psychology,0.85,social_psychology,TRUE,TRUE,social_psychology,cognitive_psychology,TRUE
10.1126/science.1211180,social_psychology,occupational_organisational_business_psychology,0.75,social_psychology,TRUE,TRUE,NA,NA,NA
10.1080/09515089.2014.894431,cognitive_psychology,social_psychology,0.7,social_psychology,FALSE,TRUE,social_psychology,NA,TRUE
10.1177/0267658310386439,NA,NA,NA,cognitive_psychology,NA,NA,NA,NA,NA
10.1073/pnas.1704032114,NA,NA,NA,social_psychology,NA,NA,NA,NA,NA
10.1073/pnas.1616921114,cognitive_psychology,social_psychology,0.75,social_psychology,FALSE,TRUE,social_psychology,cognitive_psychology,TRUE
