entry_id,effect_id,fred_id,ref_o,doi_o,study_o,ref_r,doi_r,url_r,study_r,discipline,tags,description,claim_text_o,claim_page_o,n_o,es_value_o,es_type_o,es_repr_o,pval_value_o,pval_type_o,pval_tails_o,nested_o,prereg_o,n_r,es_value_r,es_type_r,es_repr_r,pval_value_r,pval_type_r,pval_tails_r,nested_r,prereg_r,r_o,r_r
5,4,additional_studies11_b,"Saxey, M. T., LeBaron-Black, A. B., & Curran, M. A. (2022). The Sooner, the Better? Couples' First Financial Discussion, Relationship Quality, and Financial Conflict in Emerging Adulthood. Journal of Financial Therapy, 13 (1) 2. https://doi.org/10.4148/1944-9771.1299",10.4148/1944-9771.1299,,"Saxey, M. T., LeBaron‐Black, A. B., Inman, N. F., Yorgason, J. B., & Holmes, E. K. (2024). The earlier couples first discussed finances, the better? A dyadic, longitudinal replication and extension. Family Relations. https://doi.org/10.1111/fare.13030",10.1111/fare.13030,,,Social Psychology,"emerging adulthood; financial communication; financial conflict; financial discussion, relationship quality",Effect of Financial Communication on Reducing Financial Disagreements,couples’ first financial discussion was directly associated with their ... financial conflict (β = .07; p < .05).,13.0,1950.0,0.07,beta (std),"p. 8 for N, p. 13 for es",0.05,l (<),NA (not reported),no,,1079.0,-0.41,beta (std),pp. 10-11 husbands,0.001,l (<),NA (not reported),yes,,,
6,1,additional_studies12,"Stellar, J. E., Gordon, A., Anderson, C. L., Piff, P. K., McNeil, G. D., & Keltner, D. (2018). Awe and humility. Journal of Personality and Social Psychology, 114(2), 258–269. https://doi.org/10.1037/pspi0000109",10.1037/pspi0000109,3.0,"Bertrand, A., Kimmel, J., Duhamel, S., Puel, H., Schifano, A., & Wood, É. (2024). A Replication Study to Evaluate the Effects of Awe on Humility. McGill Science Undergraduate Research Journal, 19(1), 39-45. https://doi.org/10.26443/msurj.v19i1.231",10.26443/msurj.v19i1.231,,1.0,Social Psychology,"humility, awe, emotion, self-concept",Awe leads to humility,"""awe and neutral conditions had a different balance between disclosing their strengths and weaknesses, t(84) = 2.38, p = .02.""",263.0,85.0,t(84) = 2.38,test statistics,p. 263,0.02,e (=),NA (not reported),no,,71.0,t(69) = –0.34,test statistic,p.41,0.438,e (=),NA (not reported),no,,0.251343081,
6,2,additional_studies12_b,"Stellar, J. E., Gordon, A., Anderson, C. L., Piff, P. K., McNeil, G. D., & Keltner, D. (2018). Awe and humility. Journal of Personality and Social Psychology, 114(2), 258–269. https://doi.org/10.1037/pspi0000109",10.1037/pspi0000109,3.0,"Bertrand, A., Kimmel, J., Duhamel, S., Puel, H., Schifano, A., & Wood, É. (2024). A Replication Study to Evaluate the Effects of Awe on Humility. McGill Science Undergraduate Research Journal, 19(1), 39-45. https://doi.org/10.26443/msurj.v19i1.231",10.26443/msurj.v19i1.231,,1.0,Social Psychology,"humility, awe, emotion, self-concept",Awe leads to humility,"""More specific analyses revealed that participants in the awe condition discussed significantly fewer strengths (M=1.20, SD=.53) before choosing to write about their weaknesses than participants in the neutral condition (M =1.48, SD=.44), t(84)=2.64, p= .01,...""",263.0,85.0,t(84)=2.64,test statistics,"p. 263. ""awe and neutral conditions had a different balance between disclosing their strengths and weaknesses, t(84) 2.38, p .02. More specific analyses revealed that participants in the awe condition discussed significantly fewer strengths (M 1.20, SD .53) before choosing to write about their weaknesses than participants in the neutral condition (M 1.48, SD .44), t(84) 2.64, p .01, though there was no effect of condition on the number of weaknesses participants listed (awe: M .82, SD .58; neutral: M .79, SD .49), t(84) .27, p .79""",0.02,e (=),NA (not reported),no,,93.0,"t(91) = 0.85,",test statistic,"p. 41: ""The analyses showed that participants in the awe and the neutral conditiondid not significantly differ in their balance between strengths and weak-nesses disclosed (i.e., their humility score,t(69) = –0.34,p= 0.438); see Ap-pendix D for more information. This contradicts the original study, wherea significant difference was found,t(84) = 2.38,p= 0.02"", Appendix D: ""Humility scores in the awe condition (M= 0.16,SD= 0.16) when compared to the neutral condition (M= 0.17,SD= 0.16) were notsignificantly differentt(69) = –0.34,p= 0.438"" https://www.socscistatistics.com/effectsize/default3.aspx. I assumed both groups were of equal size, i.e. had 70/2 = 35 participants. ",0.397,e (=),NA (not reported),no,,0.276793434,
6,3,additional_studies12_c,"Stellar, J. E., Gordon, A., Anderson, C. L., Piff, P. K., McNeil, G. D., & Keltner, D. (2018). Awe and humility. Journal of Personality and Social Psychology, 114(2), 258–269. https://doi.org/10.1037/pspi0000109",10.1037/pspi0000109,3.0,"Bertrand, A., Kimmel, J., Duhamel, S., Puel, H., Schifano, A., & Wood, É. (2024). A Replication Study to Evaluate the Effects of Awe on Humility. McGill Science Undergraduate Research Journal, 19(1), 39-45. https://doi.org/10.26443/msurj.v19i1.231",10.26443/msurj.v19i1.231,,1.0,Social Psychology,"awe, humilty, vastness, world views","""Inducing awe led participants to present a more balanced view of their strengths and
weaknesses to others (Study 3).""","""...there was no effect of condition on the number of weaknesses participants listed (awe: M= .82, SD =.58; neutral: M = .79, SD=.49), t(84)=.27, p =.79.""",263.0,86.0,t(84)=.27,test statistics,p. 263,0.79,e (=),NA (not reported),no,,84.0,t(82)=0.5,test statistic,p.41,0.618,e (=),NA (not reported),no,,,0.055131785
7,1,additional_studies125,"Johnston, W., Dolan, K., Reid, N., Coughlan, G. F., & Caulfield, B. (2018). Investigating the effects of maximal anaerobic fatigue on dynamic postural control using the Y-Balance Test. Journal of science and medicine in sport, 21(1), 103-108. https://doi.org/10.1016/j.jsams.2017.06.007",10.1016/j.jsams.2017.06.007,1.0,"Byrne, C., Murphy, J., & Warne, J. P. (2024). Replication Study: Investigating the effects of maximal anaerobic fatigue on dynamic postural control using the Y-Balance Test. Journal of Science and Medicine in Sport. https://doi.org/10.1016/j.jsams.2024.07.018",10.1016/j.jsams.2024.07.018,,1.0,Science and Medicine in Sport ,"Dynamic postural control, Dynamic balance, Y-Balance Test, Fatigue, Replication, Balance, Anterior reach direction, Posterolateral reach direction, Posteromedial reach direction",Maximal anaerobic fatigue significantly reduces Y-Balance Test scores in ANT,"""Post-hoc paired sample t-tests demonstrated that all three reach directions demonstrated statistically significant differences between pre-fatigue and the first post-fatigue measurement (ANT: p = 0.019, PM: p = 0.004, PL: p = 0.003)""","p. 1, 3",20.0,"F(3, 57) = 3.818",test statistic,p. 3,0.025,e (=),NA (not reported),yes,,39.0,0.159,etasq,p.4,0.002,e (=),NA (not reported),no,,,0.398748041
7,2,additional_studies125_pm,"Johnston, W., Dolan, K., Reid, N., Coughlan, G. F., & Caulfield, B. (2018). Investigating the effects of maximal anaerobic fatigue on dynamic postural control using the Y-Balance Test. Journal of science and medicine in sport, 21(1), 103-108. https://doi.org/10.1016/j.jsams.2017.06.007",10.1016/j.jsams.2017.06.007,1.0,"Byrne, C., Murphy, J., & Warne, J. P. (2024). Replication Study: Investigating the effects of maximal anaerobic fatigue on dynamic postural control using the Y-Balance Test. Journal of Science and Medicine in Sport. https://doi.org/10.1016/j.jsams.2024.07.018",10.1016/j.jsams.2024.07.018,,1.0,Medicine,"Dynamic postural control, Dynamic balance, Y-Balance Test, Fatigue, Replication, Balance, Anterior reach direction, Posterolateral reach direction, Posteromedial reach direction","Investigating the effects of maximal anaerobic fatigue on dynamic postural control with Y Balance test by comparing pre-fatigue and post-fatigue (0, 10, 20 min) in posterolateral direction","""A repeated measures ANOVA with a Greenhouse-Geisser correction determined that the mean reach distances for the posterolateral (F = 6.503, P = 0.0004) reach directions were statistically significantly different between time points.""",3.0,20.0,"F(3, 57) = 6.503",test statistic,p.3,4.0E-4,e (=),1 (one),yes,,39.0,0.054,etasq,p.4,0.11,e (=),NA (not reported),no,https://osf.io/5beqa,,0.232379001
8,1,additional_studies20,"Gerlicher, A. M. V., Tüscher, O., & Kalisch, R. (2018). Dopamine-dependent prefrontal reactivations explain long-term benefit of fear extinction. Nature communications, 9(1), 4294. https://doi.org/10.1038/s41467-018-06785-y",10.1038/s41467-018-06785-y,1.0,"Andres, E., Chuan-Peng, H., Gerlicher, A. M., Meyer, B., Tüscher, O., & Kalisch, R. (2024). Replication study on the role of dopamine-dependent prefrontal reactivations in human extinction memory retrieval. Nature Communications, 15(1), 2699. https://doi.org/10.1038/s41467-024-46936-y",10.1038/s41467-024-46936-y,,1.0,Neuroscience,"Fear extintion, vmPFC, L-DOPA","""number of postextinction reactivations of an extinction learning-related vmPFC pattern (day 2)
predicts extinction memory retrieval at test (day 3).""","""Critically, the number of potential vmPFC pattern reactivations during the 45-min postextinction scan negatively predicted CRs at test on day 3""",3.0,35.0,-0.13,beta (std),p.3,3.0E-4,e (=),NA (not reported),no,,46.0,0.03,beta (std),p.4,0.407,e (=),NA (not reported),no,https://osf.io/x64cn/ ,,
8,2,additional_studies20_b,"Gerlicher, A. M. V., Tüscher, O., & Kalisch, R. (2018). Dopamine-dependent prefrontal reactivations explain long-term benefit of fear extinction. Nature communications, 9(1), 4294. https://doi.org/10.1038/s41467-018-06785-y",10.1038/s41467-018-06785-y,1.0,"Andres, E., Chuan-Peng, H., Gerlicher, A. M., Meyer, B., Tüscher, O., & Kalisch, R. (2024). Replication study on the role of dopamine-dependent prefrontal reactivations in human extinction memory retrieval. Nature Communications, 15(1), 2699. https://doi.org/10.1038/s41467-024-46936-y",10.1038/s41467-024-46936-y,,1.0,Neuroscience,"Fear extintion, vmPFC, L-DOPA","""number of postextinction reactivations of an extinction learning-related vmPFC pattern (day 2)
predicts extinction memory retrieval at test (day 3).""","""Reactivations during the scans 10 [...] min after extinction did not significantly predict CRs """,3.0,35.0,-0.01,beta (std),p.3,0.86,e (=),NA (not reported),no,,46.0,0.02,beta (std),p.4,0.548,e (=),NA (not reported),no,https://osf.io/x64cn/,,
8,3,additional_studies20_c,"Gerlicher, A. M. V., Tüscher, O., & Kalisch, R. (2018). Dopamine-dependent prefrontal reactivations explain long-term benefit of fear extinction. Nature communications, 9(1), 4294. https://doi.org/10.1038/s41467-018-06785-y",10.1038/s41467-018-06785-y,1.0,"Andres, E., Chuan-Peng, H., Gerlicher, A. M., Meyer, B., Tüscher, O., & Kalisch, R. (2024). Replication study on the role of dopamine-dependent prefrontal reactivations in human extinction memory retrieval. Nature Communications, 15(1), 2699. https://doi.org/10.1038/s41467-024-46936-y",10.1038/s41467-024-46936-y,,1.0,Neuroscience,"Fear extintion, vmPFC, L-DOPA","""number of postextinction reactivations of an extinction learning-related vmPFC pattern (day 2)
predicts extinction memory retrieval at test (day 3).""","""Reactivations during the scans [...] 90 min after extinction did not significantly predict CRs """,3.0,35.0,0.06,beta (std),p.3,0.1,e (=),NA (not reported),no,,46.0,−0.10,beta (std),p.4,0.003,e (=),NA (not reported),no,https://osf.io/x64cn/,,
8,4,additional_studies20_d,"Gerlicher, A. M. V., Tüscher, O., & Kalisch, R. (2018). Dopamine-dependent prefrontal reactivations explain long-term benefit of fear extinction. Nature communications, 9(1), 4294. https://doi.org/10.1038/s41467-018-06785-y",10.1038/s41467-018-06785-y,1.0,"Andres, E., Chuan-Peng, H., Gerlicher, A. M., Meyer, B., Tüscher, O., & Kalisch, R. (2024). Replication study on the role of dopamine-dependent prefrontal reactivations in human extinction memory retrieval. Nature Communications, 15(1), 2699. https://doi.org/10.1038/s41467-024-46936-y",10.1038/s41467-024-46936-y,,1.0,Neuroscience,"Fear extintion, vmPFC, L-DOPA",""".....pharmacologically enhancing dopaminergic activity during extinction consolidation [...] improves extinction memory retrieval at test.""","""As predicted, the postextinction administration of L-DOPA compared to placebo (see Fig. 1a) enhanced extinction memory retrieval and reduced the expression of fear at test on day 3 (stimulus: F1,33 = 44.61, P < .001, partial η2 = 0.58, stimulus × group: F1,33 = 6.58, P = 0.02, partial η2 = 0.17; n = 35; Fig. 1b).""",2.0,35.0,0.17,Partial etasq,p.2,0.02,e (=),NA (not reported),no,,55.0,"F(1,53) = 0.02 ",test statistic,p.4,0.887,e (=),NA (not reported),no,https://osf.io/x64cn/,,0.019422053
8,5,additional_studies20_e,"Gerlicher, A. M. V., Tüscher, O., & Kalisch, R. (2018). Dopamine-dependent prefrontal reactivations explain long-term benefit of fear extinction. Nature communications, 9(1), 4294. https://doi.org/10.1038/s41467-018-06785-y",10.1038/s41467-018-06785-y,1.0,"Andres, E., Chuan-Peng, H., Gerlicher, A. M., Meyer, B., Tüscher, O., & Kalisch, R. (2024). Replication study on the role of dopamine-dependent prefrontal reactivations in human extinction memory retrieval. Nature Communications, 15(1), 2699. https://doi.org/10.1038/s41467-024-46936-y",10.1038/s41467-024-46936-y,,1.0,Neuroscience,"Fear extintion, vmPFC, L-DOPA","""Critically, L-DOPA also increases the number of vmPFC pattern reactivations, and this effect mediates the effect of L-DOPA on extinction memory retrieval. ""","""postextinction L-DOPA administration significantly increased the number of potential CS+ offset-related vmPFC pattern reactivations (time × group: F(3,114) = 3.51, P = 0.02, partial η2 = 0.09; n = 40), particularly 45 min after extinction""",5.0,40.0,0.09,Partial etasq,p.5,0.02,e (=),NA (not reported),no,,46.0,"F(1,44) = 0.48 ",test statistic,p.5,0.7,e (=),NA (not reported),no,https://osf.io/x64cn/,,0.103881504
9,1,additional_studies29,"Renda, C. R., Rung, J. M., Hinnenkamp, J. E., Lenzini, S. N., & Madden, G. J. (2018). Impulsive choice and pre-exposure to delays: IV. Effects of delay-and immediacy-exposure training relative to maturational changes in impulsivity. Journal of the Experimental Analysis of Behavior, 109, 587–599. https://doi.org/10.1002/jeab.432",10.1002/jeab.432,1.0,"Fox, A. E. (2024). Immediate Reinforcement Training Has Moderate Effect on Delay Discounting Behavior in Rats: A Systematic Replication. The Psychological Record, 1-6. https://doi.org/10.1007/s40732-024-00597-x",10.1007/s40732-024-00597-x,,1.0,Psychology,"LLR, IE, CONT",Immediate Reinforcement Training and Delay Discounting Behavior in Rats,"DE training reduced impulsive choice relative to both IE and CONT rats. Replicating previous studies, DE rats showed signiﬁcantly greater percent LLR choice than IE rats at both the 15-s (59.76% vs. 8.43%;z = 4.57, p < .0001) and 30-s delays (30.11% vs. 3.48%; z = 2.81, p = .005)",8.0,34.0," z = 2.81, N = 34",test statistic,"The article uses — z = 1.73, p = .08 — a. r needs to be calculated using z and both sample groups size (17 in both), so we have r = 1,73/ √34 =0,297
",0.005,e (=),NA (not reported),no,,48.0,"z = 2.08, p = .04",test statistic,"The artcile uses z = 2.08, sample size of both groups 48. r = 2.08/√48 = 0.300",0.04,e (=),NA (not reported),no,,,
10,1,additional_studies35,"Davis, W. T., Rapp, J. T., Brogan, K. M., Pinkston, J. W., & Chinnappan, B. (2021). Comparing stimulus preference and response force in a conjugate preparation. Journal of the Experimental Analysis of Behavior, 116(1), 96–113. https://doi.org/10.1002/jeab.705",10.1002/jeab.705,1.0,"Cook, J. L., Baruni, R. R., Pinkston, J. W., Rapp, J. T., Miltenberger, R. G., Deshmukh, S., Walker, E., & Tai, S. (2024). Comparing stimulus preference and response force in a conjugate preparation: A replication with auditory stimulation. Journal of the experimental analysis of behavior, 10.1002/jeab.915. Advance online publication. https://doi.org/10.1002/jeab.915",10.1002/jeab.915,,1.0,Cognitive Psychology,"conjugate reinforcement, MSWO, response force, stimulus preference",Conjugate schedules are variations of continuous reinforcement schedules where the consequent events co-vary proportionally with a specific dimension of the response. The participants apply force to a dynamometer that adjusts the clarity of visual stimuli. The researchers investigate whether the force exerted by participants is correlated with their preference for specific stimuli.,"Table 2 shows the result for three omnibus Chi-squares tests of independence. All three tests yielded statistically significant findings at p < .05, suggesting there were significant associations between participants’ (a) VMSWO rank and mean force rank, (b) VMSWO rank and stimulus presentation order, and (c) mean
force rank and stimulus presentation order.",107.0,54.0,χ2(8) = 104.09,χ2,p.105,1.0E-5,e (=),NA (not reported),no,,81.0,0.73,cramer's V,p. 20,1.0E-5,e (=),NA (not reported),no,,,
11,1,additional_studies37,"Rothman, J. (2011). L3 syntactic transfer selectivity and typological determinacy: The typological primacy
model. Second Language Research, 27, 107–127. https://doi.org/10.1177/0267658310386439",10.1177/0267658310386439,1.0,"Parrish, K. (2024). Statistical Insignificance is not wholesale transfer in L3 Acquisition: an approximate replication of Rothman (2011). Studies in Second Language Acquisition, 1-18. https://doi.org/10.1017/S0272263124000342",10.1017/S0272263124000342,,1.0,Linguistics,"L3 acquisition, language transfer, multilingualism, statistical significance, language learning, transfer effects, linguistic theory, applied linguistics, language acquisition research, cross-linguistic influence.","Evidence is provided in support of the position that third language (L3) transfer is selective, whereby, at least under certain conditions, it is driven by the typological proximity of the target L3 measured against the other previously acquired linguistic systems...The data show that, irrespective of the L1 or the L2, these L3 learners demonstrate target knowledge of subtle adjectival semantic nuances obtained via noun-raising, which English lacks and the other languages share.","Results of the first experiment, the Semantic Interpretation Task…All groups performed comparably on this experiment, deriving about the same number correct interpretations for both preposed and postposed adjectives. A statistical analysis showed that there were in fact no significant interactions between item type and group (F(2,57) = .105; p = .901).",12.0,60.0,"F(2,57) = .105",test statistic,p.12,0.901,e (=),NA (not reported),yes,,211.0,"F[1, 209] = 6.72",test statistic,p.9,0.05,l (<),NA (not reported),yes,,,
