doi_o,n_replications,outcomes,first_year_r,flora_commit
10.1002/art.38110,1,successful,2025,cb02db7930176d05964d3afe98f460ffa364f366
10.1002/art.39932,1,successful,2020,cb02db7930176d05964d3afe98f460ffa364f366
10.1002/bdm.492,1,failed,2024,cb02db7930176d05964d3afe98f460ffa364f366
10.1002/bdm.586,2,failed,2018,cb02db7930176d05964d3afe98f460ffa364f366
10.1002/bdm.656,1,successful,2021,cb02db7930176d05964d3afe98f460ffa364f366
10.1002/bin.1836,1,successful,2019,cb02db7930176d05964d3afe98f460ffa364f366
10.1002/bin.242,1,mixed,2019,cb02db7930176d05964d3afe98f460ffa364f366
10.1002/bin.70004,1,mixed,2026,cb02db7930176d05964d3afe98f460ffa364f366
10.1002/clc.22410,1,successful,2019,cb02db7930176d05964d3afe98f460ffa364f366
10.1002/dev.420050403,1,mixed,2010,cb02db7930176d05964d3afe98f460ffa364f366
10.1002/ece3.3192,1,successful,2021,cb02db7930176d05964d3afe98f460ffa364f366
10.1002/ejsp.127,1,failed,2013,cb02db7930176d05964d3afe98f460ffa364f366
10.1002/ejsp.2013,1,successful,2018,cb02db7930176d05964d3afe98f460ffa364f366
10.1002/ejsp.2219,1,successful,2019,cb02db7930176d05964d3afe98f460ffa364f366
10.1002/ejsp.2420170402,1,successful,2020,cb02db7930176d05964d3afe98f460ffa364f366
10.1002/ejsp.446,1,successful,2020,cb02db7930176d05964d3afe98f460ffa364f366
10.1002/fut.22112,1,failed,2023,cb02db7930176d05964d3afe98f460ffa364f366
10.1002/gps.4221,1,successful,2018,cb02db7930176d05964d3afe98f460ffa364f366
10.1002/hbm.20939,1,failed,2017,cb02db7930176d05964d3afe98f460ffa364f366
10.1002/hec.1160,1,failed,2011,cb02db7930176d05964d3afe98f460ffa364f366
10.1002/hipo.23099,1,successful,2020,cb02db7930176d05964d3afe98f460ffa364f366
10.1002/hrdq.20065,1,failed,2021,cb02db7930176d05964d3afe98f460ffa364f366
10.1002/hrm.10029,1,successful,2008,cb02db7930176d05964d3afe98f460ffa364f366
10.1002/imhj.21653,1,successful,2019,cb02db7930176d05964d3afe98f460ffa364f366
10.1002/j.2164-585x.1979.tb00097.x,1,<missing>,2014,cb02db7930176d05964d3afe98f460ffa364f366
10.1002/jaba.106,2,successful,2018,cb02db7930176d05964d3afe98f460ffa364f366
10.1002/jaba.152,1,successful,2016,cb02db7930176d05964d3afe98f460ffa364f366
10.1002/jaba.154,1,mixed,2017,cb02db7930176d05964d3afe98f460ffa364f366
10.1002/jaba.27,1,successful,2017,cb02db7930176d05964d3afe98f460ffa364f366
10.1002/jaba.2905,1,mixed,2026,cb02db7930176d05964d3afe98f460ffa364f366
10.1002/jaba.385,1,successful,2020,cb02db7930176d05964d3afe98f460ffa364f366
10.1002/jaba.394,1,successful,2019,cb02db7930176d05964d3afe98f460ffa364f366
10.1002/jaba.431,1,successful,2019,cb02db7930176d05964d3afe98f460ffa364f366
10.1002/jaba.453,1,successful,2022,cb02db7930176d05964d3afe98f460ffa364f366
10.1002/jaba.525,1,successful,2019,cb02db7930176d05964d3afe98f460ffa364f366
10.1002/jaba.659,1,successful,2021,cb02db7930176d05964d3afe98f460ffa364f366
10.1002/jaba.672,1,mixed,2020,cb02db7930176d05964d3afe98f460ffa364f366
10.1002/jaba.69,1,successful,2020,cb02db7930176d05964d3afe98f460ffa364f366
10.1002/jaba.86,1,successful,2020,cb02db7930176d05964d3afe98f460ffa364f366
10.1002/jaba.863,1,successful,2026,cb02db7930176d05964d3afe98f460ffa364f366
10.1002/jaba.887,1,successful,2024,cb02db7930176d05964d3afe98f460ffa364f366
10.1002/jaba.975,1,successful,2026,cb02db7930176d05964d3afe98f460ffa364f366
10.1002/jae.1093,1,failed,2012,cb02db7930176d05964d3afe98f460ffa364f366
10.1002/jae.1118,1,mixed,2017,cb02db7930176d05964d3afe98f460ffa364f366
10.1002/jae.1159,1,successful,2017,cb02db7930176d05964d3afe98f460ffa364f366
10.1002/jae.2873,1,successful,2023,cb02db7930176d05964d3afe98f460ffa364f366
10.1002/jae.616,1,successful,2022,cb02db7930176d05964d3afe98f460ffa364f366
10.1002/jae.763,1,successful,2015,cb02db7930176d05964d3afe98f460ffa364f366
10.1002/jae.976,1,successful,2024,cb02db7930176d05964d3afe98f460ffa364f366
10.1002/jbmr.4341,1,failed,2024,cb02db7930176d05964d3afe98f460ffa364f366
10.1002/jclp.22191,1,successful,2020,cb02db7930176d05964d3afe98f460ffa364f366
10.1002/jcop.21511,1,successful,2013,cb02db7930176d05964d3afe98f460ffa364f366
10.1002/jcpy.1028,1,mixed,2021,cb02db7930176d05964d3afe98f460ffa364f366
10.1002/jcpy.1156,1,mixed,2022,cb02db7930176d05964d3afe98f460ffa364f366
10.1002/jeab.432,1,successful,2024,cb02db7930176d05964d3afe98f460ffa364f366
10.1002/jeab.705,1,successful,2024,cb02db7930176d05964d3afe98f460ffa364f366
10.1002/jip.55,1,failed,2011,cb02db7930176d05964d3afe98f460ffa364f366
10.1002/job.2118,1,successful,2025,cb02db7930176d05964d3afe98f460ffa364f366
10.1002/job.598,1,successful,2026,cb02db7930176d05964d3afe98f460ffa364f366
10.1002/job.697,1,failed,2026,cb02db7930176d05964d3afe98f460ffa364f366
10.1002/npr2.70029,1,successful,2026,cb02db7930176d05964d3afe98f460ffa364f366
10.1002/pam.21702,2,mixed | successful,2017,cb02db7930176d05964d3afe98f460ffa364f366
10.1002/per.1902,1,failed,2025,cb02db7930176d05964d3afe98f460ffa364f366
10.1002/per.1942,1,successful,2026,cb02db7930176d05964d3afe98f460ffa364f366
10.1002/per.2062,1,successful,2025,cb02db7930176d05964d3afe98f460ffa364f366
10.1002/per.2157,1,successful,2026,cb02db7930176d05964d3afe98f460ffa364f366
10.1002/per.758,1,mixed,2025,cb02db7930176d05964d3afe98f460ffa364f366
10.1002/per.803,1,successful,2025,cb02db7930176d05964d3afe98f460ffa364f366
10.1002/per.853,1,failed,2026,cb02db7930176d05964d3afe98f460ffa364f366
10.1002/pon.2108,1,successful,2018,cb02db7930176d05964d3afe98f460ffa364f366
10.1002/rrq.027,1,mixed,2015,cb02db7930176d05964d3afe98f460ffa364f366
10.1002/smj.2108,1,successful,2022,cb02db7930176d05964d3afe98f460ffa364f366
10.1002/smj.2268,1,failed,2025,cb02db7930176d05964d3afe98f460ffa364f366
10.1002/smj.2274,1,failed,2018,cb02db7930176d05964d3afe98f460ffa364f366
10.1002/smj.2331,1,mixed,2023,cb02db7930176d05964d3afe98f460ffa364f366
10.1002/smj.2585,1,successful,2025,cb02db7930176d05964d3afe98f460ffa364f366
10.1002/smj.2682,1,mixed,2020,cb02db7930176d05964d3afe98f460ffa364f366
10.1002/smj.3354,1,successful,2026,cb02db7930176d05964d3afe98f460ffa364f366
10.1002/smj.774,1,mixed,2016,cb02db7930176d05964d3afe98f460ffa364f366
10.1002/smj.807,1,mixed,2021,cb02db7930176d05964d3afe98f460ffa364f366
10.1002/smr.1838,1,mixed,2022,cb02db7930176d05964d3afe98f460ffa364f366
10.1002/soej.12223,1,failed,2023,cb02db7930176d05964d3afe98f460ffa364f366
10.1002/stvr.1594,1,mixed,2022,cb02db7930176d05964d3afe98f460ffa364f366
10.1002/tea.21227,1,successful,2019,cb02db7930176d05964d3afe98f460ffa364f366
10.1002/tesq.3137,1,mixed,2023,cb02db7930176d05964d3afe98f460ffa364f366
10.1002/tesq.445,1,mixed,2021,cb02db7930176d05964d3afe98f460ffa364f366
10.1006/cogp.1998.0690,1,mixed,2013,cb02db7930176d05964d3afe98f460ffa364f366
10.1006/cogp.1998.0708,1,successful,2024,cb02db7930176d05964d3afe98f460ffa364f366
10.1006/game.1995.1027,1,successful,2000,cb02db7930176d05964d3afe98f460ffa364f366
10.1006/jesp.1996.0005,2,failed,2001,cb02db7930176d05964d3afe98f460ffa364f366
10.1006/jesp.1996.1314,1,successful,2022,cb02db7930176d05964d3afe98f460ffa364f366
10.1006/jesp.2001.1488,1,failed,2025,cb02db7930176d05964d3afe98f460ffa364f366
10.1006/jmla.1996.0032,1,failed,2018,cb02db7930176d05964d3afe98f460ffa364f366
10.1006/jmla.2000.2737,1,successful,2012,cb02db7930176d05964d3afe98f460ffa364f366
10.1007/978-3-642-20677-1_13,1,failed,2014,cb02db7930176d05964d3afe98f460ffa364f366
10.1007/978-90-481-3941-5_10,1,successful,2012,cb02db7930176d05964d3afe98f460ffa364f366
10.1007/bf00299299,1,successful,2018,cb02db7930176d05964d3afe98f460ffa364f366
10.1007/bf00402312,1,successful,2018,cb02db7930176d05964d3afe98f460ffa364f366
10.1007/bf00431763,1,mixed,2022,cb02db7930176d05964d3afe98f460ffa364f366
10.1007/bf01371820,1,failed,2026,cb02db7930176d05964d3afe98f460ffa364f366
10.1007/bf01541644,1,mixed,2015,cb02db7930176d05964d3afe98f460ffa364f366
10.1007/bf02335554,1,successful,2012,cb02db7930176d05964d3afe98f460ffa364f366
10.1007/bf03395755,1,successful,2016,cb02db7930176d05964d3afe98f460ffa364f366
10.1007/s001270050022,1,failed,2015,cb02db7930176d05964d3afe98f460ffa364f366
10.1007/s00213-010-1872-1,1,failed,2020,cb02db7930176d05964d3afe98f460ffa364f366
10.1007/s00213-024-06679-6,1,mixed,2025,cb02db7930176d05964d3afe98f460ffa364f366
10.1007/s00221-012-3266-6,1,successful,2014,cb02db7930176d05964d3afe98f460ffa364f366
10.1007/s00439-022-02495-0,1,mixed,2023,cb02db7930176d05964d3afe98f460ffa364f366
10.1007/s00455-007-9127-y,1,successful,2013,cb02db7930176d05964d3afe98f460ffa364f366
10.1007/s00784-013-1054-8,1,failed,2024,cb02db7930176d05964d3afe98f460ffa364f366
10.1007/s10071-012-0510-1,1,successful,2020,cb02db7930176d05964d3afe98f460ffa364f366
10.1007/s10508-007-9175-2,1,successful,2018,cb02db7930176d05964d3afe98f460ffa364f366
10.1007/s10508-009-9559-6,1,successful,2021,cb02db7930176d05964d3afe98f460ffa364f366
10.1007/s10508-016-0847-7,1,failed,2024,cb02db7930176d05964d3afe98f460ffa364f366
10.1007/s10551-016-3409-y,1,failed,2022,cb02db7930176d05964d3afe98f460ffa364f366
10.1007/s10608-012-9509-9,1,mixed,2024,cb02db7930176d05964d3afe98f460ffa364f366
10.1007/s10640-012-9592-0,1,failed,2023,cb02db7930176d05964d3afe98f460ffa364f366
10.1007/s10643-020-01043-7,1,failed,2024,cb02db7930176d05964d3afe98f460ffa364f366
10.1007/s10649-007-9083-3,1,failed,2019,cb02db7930176d05964d3afe98f460ffa364f366
10.1007/s10649-021-10072-x,1,mixed,2025,cb02db7930176d05964d3afe98f460ffa364f366
10.1007/s10683-008-9210-8,1,failed,2026,cb02db7930176d05964d3afe98f460ffa364f366
10.1007/s10683-011-9281-9,2,successful,2023,cb02db7930176d05964d3afe98f460ffa364f366
10.1007/s10683-015-9436-1,1,failed,2026,cb02db7930176d05964d3afe98f460ffa364f366
10.1007/s10683-015-9437-0,1,successful,2022,cb02db7930176d05964d3afe98f460ffa364f366
10.1007/s10683-016-9484-1,1,successful,2026,cb02db7930176d05964d3afe98f460ffa364f366
10.1007/s10802-020-00712-w,1,failed,2024,cb02db7930176d05964d3afe98f460ffa364f366
10.1007/s10803-008-0608-0,1,mixed,2014,cb02db7930176d05964d3afe98f460ffa364f366
10.1007/s10803-008-0664-5,1,successful,2013,cb02db7930176d05964d3afe98f460ffa364f366
10.1007/s10803-012-1608-7,1,failed,2023,cb02db7930176d05964d3afe98f460ffa364f366
10.1007/s10803-013-1829-4,1,successful,2014,cb02db7930176d05964d3afe98f460ffa364f366
10.1007/s10803-014-2080-3,1,successful,2015,cb02db7930176d05964d3afe98f460ffa364f366
10.1007/s10803-020-04478-4,1,successful,2020,cb02db7930176d05964d3afe98f460ffa364f366
10.1007/s10803-024-06383-6,1,successful,2026,cb02db7930176d05964d3afe98f460ffa364f366
10.1007/s10824-022-09464-5,1,successful,2024,cb02db7930176d05964d3afe98f460ffa364f366
10.1007/s10864-005-2703-z,1,successful,2021,cb02db7930176d05964d3afe98f460ffa364f366
10.1007/s10899-016-9662-2,1,mixed,2020,cb02db7930176d05964d3afe98f460ffa364f366
10.1007/s10926-019-09829-2,1,successful,2022,cb02db7930176d05964d3afe98f460ffa364f366
10.1007/s10926-019-09849-y,1,successful,2026,cb02db7930176d05964d3afe98f460ffa364f366
10.1007/s10940-015-9263-8,1,mixed,2019,cb02db7930176d05964d3afe98f460ffa364f366
10.1007/s10943-006-9075-0,1,successful,2024,cb02db7930176d05964d3afe98f460ffa364f366
10.1007/s10956-012-9369-9,1,mixed,2013,cb02db7930176d05964d3afe98f460ffa364f366
10.1007/s11002-005-0457-y,1,failed,2025,cb02db7930176d05964d3afe98f460ffa364f366
10.1007/s11002-014-9295-0,1,failed,2020,cb02db7930176d05964d3afe98f460ffa364f366
10.1007/s11031-006-9031-z,1,successful,2025,cb02db7930176d05964d3afe98f460ffa364f366
10.1007/s11050-010-9062-6,1,successful,2012,cb02db7930176d05964d3afe98f460ffa364f366
10.1007/s11055-011-9545-z,1,successful,2016,cb02db7930176d05964d3afe98f460ffa364f366
10.1007/s11098-009-9439-x,1,successful,2018,cb02db7930176d05964d3afe98f460ffa364f366
10.1007/s11098-010-9651-8,1,successful,2018,cb02db7930176d05964d3afe98f460ffa364f366
10.1007/s11109-015-9325-5,1,successful,2021,cb02db7930176d05964d3afe98f460ffa364f366
10.1007/s11109-016-9383-3,1,successful,2019,cb02db7930176d05964d3afe98f460ffa364f366
10.1007/s11121-007-0080-7,1,successful,2015,cb02db7930176d05964d3afe98f460ffa364f366
10.1007/s11127-010-9760-0,1,successful,2012,cb02db7930176d05964d3afe98f460ffa364f366
10.1007/s11145-010-9282-7,1,successful,2016,cb02db7930176d05964d3afe98f460ffa364f366
10.1007/s11145-016-9688-y,1,successful,2018,cb02db7930176d05964d3afe98f460ffa364f366
10.1007/s11150-021-09593-4,1,failed,2024,cb02db7930176d05964d3afe98f460ffa364f366
10.1007/s11165-012-9320-3,1,descriptive only,2019,cb02db7930176d05964d3afe98f460ffa364f366
10.1007/s11187-010-9264-9,1,failed,2023,cb02db7930176d05964d3afe98f460ffa364f366
10.1007/s11199-007-9195-3,1,failed,2018,cb02db7930176d05964d3afe98f460ffa364f366
10.1007/s11199-011-0036-z,1,statistically successful but flawed,2017,cb02db7930176d05964d3afe98f460ffa364f366
10.1007/s11199-015-0450-8,1,mixed,2017,cb02db7930176d05964d3afe98f460ffa364f366
10.1007/s11211-023-00407-9,1,failed,2025,cb02db7930176d05964d3afe98f460ffa364f366
10.1007/s11251-009-9093-x,1,successful,2010,cb02db7930176d05964d3afe98f460ffa364f366
10.1007/s11423-023-10326-w,1,successful,2025,cb02db7930176d05964d3afe98f460ffa364f366
10.1007/s11575-008-0022-z,1,successful,2020,cb02db7930176d05964d3afe98f460ffa364f366
10.1007/s11606-021-06676-x,1,successful,2026,cb02db7930176d05964d3afe98f460ffa364f366
10.1007/s11747-009-0140-6,1,failed,2026,cb02db7930176d05964d3afe98f460ffa364f366
10.1007/s11747-014-0373-x,1,successful,2026,cb02db7930176d05964d3afe98f460ffa364f366
10.1007/s11858-016-0819-3,1,successful,2024,cb02db7930176d05964d3afe98f460ffa364f366
10.1007/s12041-011-0112-8,1,successful,2014,cb02db7930176d05964d3afe98f460ffa364f366
10.1007/s12110-004-1010-z,1,mixed,2014,cb02db7930176d05964d3afe98f460ffa364f366
10.1007/s12144-022-02879-5,1,failed,2025,cb02db7930176d05964d3afe98f460ffa364f366
10.1007/s12152-008-9015-7,1,failed,2018,cb02db7930176d05964d3afe98f460ffa364f366
10.1007/s12369-023-01076-z,1,successful,2025,cb02db7930176d05964d3afe98f460ffa364f366
10.1007/s13164-013-0154-3,1,successful,2018,cb02db7930176d05964d3afe98f460ffa364f366
10.1007/s13164-013-0162-3,1,failed,2018,cb02db7930176d05964d3afe98f460ffa364f366
10.1007/s13300-022-01230-2,1,mixed,2025,cb02db7930176d05964d3afe98f460ffa364f366
10.1007/s13524-011-0026-3,1,failed,2025,cb02db7930176d05964d3afe98f460ffa364f366
10.1007/s13524-012-0091-2,1,successful,2026,cb02db7930176d05964d3afe98f460ffa364f366
10.1007/s13524-012-0173-1,1,failed,2026,cb02db7930176d05964d3afe98f460ffa364f366
10.1007/s13524-013-0261-x,1,successful,2026,cb02db7930176d05964d3afe98f460ffa364f366
10.1007/s13524-016-0483-9,1,failed,2026,cb02db7930176d05964d3afe98f460ffa364f366
10.1007/s13524-018-0725-0,1,failed,2025,cb02db7930176d05964d3afe98f460ffa364f366
10.1007/s40617-018-00314-5,1,successful,2022,cb02db7930176d05964d3afe98f460ffa364f366
10.1007/s40732-014-0040-0,1,mixed,2025,cb02db7930176d05964d3afe98f460ffa364f366
10.1007/s40732-014-0052-9,1,failed,2015,cb02db7930176d05964d3afe98f460ffa364f366
10.1007/s40732-020-00453-8,1,successful,2024,cb02db7930176d05964d3afe98f460ffa364f366
10.1007/s42761-021-00036-y,1,successful,2023,cb02db7930176d05964d3afe98f460ffa364f366
10.1016/0001-6918(81)90005-6,1,successful,2023,cb02db7930176d05964d3afe98f460ffa364f366
10.1016/0010-0277(90)90035-i,1,mixed,2020,cb02db7930176d05964d3afe98f460ffa364f366
10.1016/0010-0285(72)90003-5,1,uninformative,2025,cb02db7930176d05964d3afe98f460ffa364f366
10.1016/0010-0285(73)90033-9,1,successful,2016,cb02db7930176d05964d3afe98f460ffa364f366
10.1016/0010-0285(83)90002-6,1,successful,2023,cb02db7930176d05964d3afe98f460ffa364f366
10.1016/0010-0285(89)90003-0,1,mixed,2005,cb02db7930176d05964d3afe98f460ffa364f366
10.1016/0010-0285(90)90003-m,1,successful,2014,cb02db7930176d05964d3afe98f460ffa364f366
10.1016/0010-0285(92)90008-p,1,failed,2021,cb02db7930176d05964d3afe98f460ffa364f366
10.1016/0010-0285(92)90013-r,1,mixed,2015,cb02db7930176d05964d3afe98f460ffa364f366
10.1016/0013-4694(96)95711-9,1,mixed,2025,cb02db7930176d05964d3afe98f460ffa364f366
10.1016/0022-0531(82)90030-8,1,failed,1992,cb02db7930176d05964d3afe98f460ffa364f366
10.1016/0022-1031(77)90049-x,1,successful,2018,cb02db7930176d05964d3afe98f460ffa364f366
10.1016/0022-1031(91)90011-t,1,successful,2020,cb02db7930176d05964d3afe98f460ffa364f366
10.1016/0022-4405(78)90001-8,1,failed,1986,cb02db7930176d05964d3afe98f460ffa364f366
10.1016/0030-5073(76)90005-2,2,failed | mixed,2021,cb02db7930176d05964d3afe98f460ffa364f366
10.1016/0030-5073(84)90043-6,1,mixed,2025,cb02db7930176d05964d3afe98f460ffa364f366
10.1016/0042-6989(86)90090-8,1,successful,2013,cb02db7930176d05964d3afe98f460ffa364f366
10.1016/0145-2134(88)90073-7,1,mixed,1992,cb02db7930176d05964d3afe98f460ffa364f366
10.1016/0148-2963(95)00125-5,1,successful,2025,cb02db7930176d05964d3afe98f460ffa364f366
10.1016/0165-4101(85)90029-1,1,mixed,1995,cb02db7930176d05964d3afe98f460ffa364f366
10.1016/0167-2681(82)90011-7,1,successful,2010,cb02db7930176d05964d3afe98f460ffa364f366
10.1016/0167-6296(95)90921-r,1,failed,1998,cb02db7930176d05964d3afe98f460ffa364f366
10.1016/0304-3932(89)90047-0,1,successful,2017,cb02db7930176d05964d3afe98f460ffa364f366
10.1016/0304-405x(87)90026-2,1,successful,2023,cb02db7930176d05964d3afe98f460ffa364f366
10.1016/0304-405x(89)90077-9,1,failed,1992,cb02db7930176d05964d3afe98f460ffa364f366
10.1016/0376-6357(94)90072-8,1,successful,2025,cb02db7930176d05964d3afe98f460ffa364f366
10.1016/0749-596x(88)90071-x,1,successful,2021,cb02db7930176d05964d3afe98f460ffa364f366
10.1016/0883-9026(91)90005-x,1,mixed,1996,cb02db7930176d05964d3afe98f460ffa364f366
10.1016/0883-9026(94)90013-2,1,mixed,2000,cb02db7930176d05964d3afe98f460ffa364f366
10.1016/0920-9964(93)90019-f,1,failed,1993,cb02db7930176d05964d3afe98f460ffa364f366
10.1016/b978-0-12-108840-8.50014-7,1,successful,2020,cb02db7930176d05964d3afe98f460ffa364f366
10.1016/b978-0-12-205050-3.50008-7,1,failed,2006,cb02db7930176d05964d3afe98f460ffa364f366
10.1016/b978-0-12-823519-5.00003-8,1,failed,2023,cb02db7930176d05964d3afe98f460ffa364f366
10.1016/j.actpsy.2018.04.007,1,mixed,2018,cb02db7930176d05964d3afe98f460ffa364f366
10.1016/j.actpsy.2019.04.006,1,successful,2020,cb02db7930176d05964d3afe98f460ffa364f366
10.1016/j.addbeh.2012.12.022,1,failed,2017,cb02db7930176d05964d3afe98f460ffa364f366
10.1016/j.adolescence.2017.01.006,1,successful,2019,cb02db7930176d05964d3afe98f460ffa364f366
10.1016/j.ajhg.2009.12.009,1,failed,2013,cb02db7930176d05964d3afe98f460ffa364f366
10.1016/j.aos.2007.01.001,1,successful,2025,cb02db7930176d05964d3afe98f460ffa364f366
10.1016/j.aos.2016.02.003,1,failed,2021,cb02db7930176d05964d3afe98f460ffa364f366
10.1016/j.appet.2011.12.023,1,failed,2021,cb02db7930176d05964d3afe98f460ffa364f366
10.1016/j.appet.2016.07.009,1,successful,2019,cb02db7930176d05964d3afe98f460ffa364f366
10.1016/j.appet.2020.104808,2,successful,2023,cb02db7930176d05964d3afe98f460ffa364f366
10.1016/j.applanim.2006.03.017,1,successful,2022,cb02db7930176d05964d3afe98f460ffa364f366
10.1016/j.bandl.2010.07.003,1,mixed,2018,cb02db7930176d05964d3afe98f460ffa364f366
10.1016/j.beproc.2008.04.003,1,failed,2013,cb02db7930176d05964d3afe98f460ffa364f366
10.1016/j.beth.2005.03.002,1,successful,2011,cb02db7930176d05964d3afe98f460ffa364f366
10.1016/j.beth.2011.02.006,1,mixed,2025,cb02db7930176d05964d3afe98f460ffa364f366
10.1016/j.beth.2012.02.002,1,successful,2020,cb02db7930176d05964d3afe98f460ffa364f366
10.1016/j.biopsych.2004.11.026,1,failed,2021,cb02db7930176d05964d3afe98f460ffa364f366
10.1016/j.biopsych.2005.07.040,1,successful,2009,cb02db7930176d05964d3afe98f460ffa364f366
10.1016/j.biopsych.2006.03.040,1,successful,2011,cb02db7930176d05964d3afe98f460ffa364f366
10.1016/j.biopsych.2014.12.027,1,successful,2016,cb02db7930176d05964d3afe98f460ffa364f366
10.1016/j.biopsych.2018.02.061,1,successful,2022,cb02db7930176d05964d3afe98f460ffa364f366
10.1016/j.biopsycho.2016.05.001,1,failed,2020,cb02db7930176d05964d3afe98f460ffa364f366
10.1016/j.biopsycho.2018.08.007,1,mixed,2024,cb02db7930176d05964d3afe98f460ffa364f366
10.1016/j.brainres.2005.11.046,1,mixed,2011,cb02db7930176d05964d3afe98f460ffa364f366
10.1016/j.brainres.2009.05.079,1,successful,2010,cb02db7930176d05964d3afe98f460ffa364f366
10.1016/j.brainres.2009.07.042,1,failed,2018,cb02db7930176d05964d3afe98f460ffa364f366
10.1016/j.brat.2009.11.008,1,successful,2019,cb02db7930176d05964d3afe98f460ffa364f366
10.1016/j.brat.2015.01.001,1,successful,2015,cb02db7930176d05964d3afe98f460ffa364f366
10.1016/j.brat.2020.103798,1,successful,2023,cb02db7930176d05964d3afe98f460ffa364f366
10.1016/j.brat.2022.104130,1,failed,2026,cb02db7930176d05964d3afe98f460ffa364f366
10.1016/j.brs.2012.03.006,1,failed,2017,cb02db7930176d05964d3afe98f460ffa364f366
10.1016/j.brs.2020.01.005,1,mixed,2022,cb02db7930176d05964d3afe98f460ffa364f366
10.1016/j.brs.2021.02.002,1,mixed,2022,cb02db7930176d05964d3afe98f460ffa364f366
10.1016/j.brs.2024.05.004,1,successful,2026,cb02db7930176d05964d3afe98f460ffa364f366
10.1016/j.ccr.2010.01.020,1,successful,2017,cb02db7930176d05964d3afe98f460ffa364f366
10.1016/j.cedpsych.2014.03.004,1,successful,2026,cb02db7930176d05964d3afe98f460ffa364f366
10.1016/j.cedpsych.2017.07.002,1,successful,2020,cb02db7930176d05964d3afe98f460ffa364f366
10.1016/j.cell.2008.05.048,1,mixed,2010,cb02db7930176d05964d3afe98f460ffa364f366
10.1016/j.cell.2009.12.040,1,mixed,2021,cb02db7930176d05964d3afe98f460ffa364f366
10.1016/j.cell.2011.05.040,1,mixed,2019,cb02db7930176d05964d3afe98f460ffa364f366
10.1016/j.cell.2011.08.017,1,mixed,2017,cb02db7930176d05964d3afe98f460ffa364f366
10.1016/j.cell.2011.09.029,1,failed,2020,cb02db7930176d05964d3afe98f460ffa364f366
