;doi_o;abstract;title
11;10.1002/ejsp.127;"Abstract According to system justification theory, people are motivated to preserve the belief that existing social arrangements are fair, legitimate, justifiable, and necessary. The strongest form of this hypothesis, which draws on the logic of cognitive dissonance theory, holds that people who are most disadvantaged by the status quo would have the greatest psychological need to reduce ideological dissonance and would therefore be most likely to support, defend, and justify existing social systems, authorities, and outcomes. Variations on this hypothesis were tested in five US national survey studies. We found that (a) low‐income respondents and African Americans were more likely than others to support limitations on the rights of citizens and media representatives to criticize the government; (b) low‐income Latinos were more likely to trust in US government officials and to believe that ‘the government is run for the benefit of all’ than were high‐income Latinos; (c) low‐income respondents were more likely than high‐income respondents to believe that large differences in pay are necessary to foster motivation and effort; (d) Southerners in the USA were more likely to endorse meritocratic belief systems than were Northerners and poor and Southern African Americans were more likely to subscribe to meritocratic ideologies than were African Americans who were more affluent and from the North; (e) low‐income respondents and African Americans were more likely than others to believe that economic inequality is legitimate and necessary; and (f) stronger endorsement of meritocratic ideology was associated with greater satisfaction with one's own economic situation. Taken together, these findings are consistent with the dissonance‐based argument that people who suffer the most from a given state of affairs are paradoxically the least likely to question, challenge, reject, or change it. Implications for theories of system justification, cognitive dissonance, and social change are also discussed. Copyright © 2002 John Wiley & Sons, Ltd.";Social inequality and the reduction of ideological dissonance on behalf of the system: evidence of enhanced system justification among the disadvantaged
12;10.1002/hbm.20939;Declarative memory is remarkably adaptive in the way it maintains sensitivity to relative novelty in both unknown and highly familiar environments. However, the neural mechanisms underlying this contextual adaptation are poorly understood. On the basis of emerging links between novelty processing and reinforcement learning mechanisms, we hypothesized that responses to novelty will be adaptively scaled according to expected contextual probabilities of new and familiar events, in the same way that responses to prediction errors for rewards are scaled according to their expected range. Using functional magnetic resonance imaging in humans, we show that the influence of novelty and reward on memory formation in an incidental memory task is adaptively scaled and furthermore that the BOLD signal in orbital prefrontal and medial temporal cortices exhibits concomitant scaled adaptive coding. These findings demonstrate a new mechanism for adjusting gain and sensitivity in declarative memory in accordance with contextual probabilities and expectancies of future events.;A common mechanism for adaptive scaling of reward and novelty
13;10.1002/hec.1160;The primary objective of this paper is to evaluate the impact of Taiwan's National Health Insurance program (NHI), established in 1995, on improving elderly access to care and health status. Further, we estimate the extent to which NHI reduces gaps in access and health across income groups. Using data from a longitudinal survey, we adopt a difference-in-difference methodology to estimate the causal effect of Taiwan's NHI. Our results show that Taiwan's NHI has significantly increased utilization of both outpatient and inpatient care among the elderly, and such effects were more salient for people in the low- or middle-income groups. Our findings also reveal that although Taiwan's NHI greatly increased the utilization of both outpatient and inpatient services, this increased utilization of health services did not reduce mortality or lead to better self-perceived general health status for Taiwanese elderly. Measures more sensitive than mortality and self-perceived general health may be necessary for discerning the health effects of NHI. Alternatively, the lack of NHI effects on health may reflect other quality and efficiency problems inherent in the system not yet addressed by NHI.;The effects of Taiwan's National Health Insurance on access and health status of the elderly
14;10.1002/hec.922;Canadian per capita drug expenditures increased markedly in recent years and have become center stage in the debate on health care cost containment. To inform public policy, these costs must be compared with the benefits provided by these drugs. This paper measures the statistical relationship between drug spending in Canadian provinces and overall health outcomes. The analysis relies on more homogenous data and includes a more complete set of controls for confounding factors than previous studies. Results show a strong statistical relationship between drug spending and health outcomes, especially for infant mortality and life expectancy at 65. This relationship is almost always stronger for private drug spending than for public drug spending. The analysis further indicates that substantially better health outcomes are observed in provinces where higher drug spending occurs. Simulations show that if all provinces increased per capita drug spending to the levels observed in the two provinces with the highest spending level, an average of 584 fewer infant deaths per year and over 6 months of increased life expectancy at birth would result.;Public and private pharmaceutical spending as determinants of health outcomes in Canada
15;10.1002/hrdq.20065;"Employee engagement research is typiﬁed by the relabeling and reinvention ofclassic job attitude concepts. We comment on the development of the WorkCognition Inventory (WCI; Nimon, Zigarmi, Houson, Witt, & Diehl, thisissue), an instrument designed to assess eight major antecedents of employeeengagement/work passion. The antecedents measured by the WCI include jobautonomy, feedback, task signiﬁcance, distributive justice, leader–memberexchange (LMX), social support, coworker collaboration, and opportunitiesfor growth (although Nimon et al. use different labels for some of these). Wenote the WCI was created with the use of many of the best scale-developmentprocedures available (e.g., conﬁrmatory factor analyses across several replica-tion samples, convergent and discriminant validity evidence), and is exemplaryin this regard. Nonetheless, the WCI appears to measure the same constructsas several long-established instruments (e.g., Hackman & Oldham, 1980;Morgeson & Humphrey, 2006; Sims, Szilagyi, & Keller, 1976). The naturalquestion is whether this new WCI measure of classic human resources (HR)concepts (job autonomy, justice, etc.) is distinct from and performs better thanthe classic measures of these same concepts. This is an empirical question, butone the authors of the WCI do not address. When attempting to supplant clas-sic measures of well-known constructs, it is important to include those classicmeasures in the validity study.";Invited reaction: The Work Cognition Inventory: Initial evidence of construct validity
16;10.1002/humu.22471;We describe a copy-number variant (CNV) for which deletion alleles confer a protective affect against rheumatoid arthritis (RA). This CNV reflects net unit deletions and expansions to a normal two-unit tandem duplication located on human chr12p13.31, a region with conserved synteny to the rat RA susceptibility quantitative trait loci Oia2. Genotyping, using the paralogue ratio test and SNP intensity data, in Swedish samples (2,403 cases, 1,269 controls) showed that the frequency of deletion variants is significantly lower in cases (P = 0.0012, OR = 0.442 [95%CI 0.258-0.755]). Reduced frequencies of deletion variants were also seen in replication materials comprising 9,201 UK samples (1,846 cases, 7,355 controls) and 2,963 US samples (906 controls, 1,967 cases) (Mantel-Haenszel P = 0.036, OR = 0.559 [95%CI 0.323-0.966]). Combining the three datasets produces a Mantel-Haenszel OR of 0.497 (P < 0.0002). The deletion variant lacks 129-kb of DNA containing SLC2A3, NANOGP1, and SLC2A14. SLC2A3 encodes a high-affinity glucose transporter important in the immune response and chondrocyte metabolism, both key aspects of RA pathogenesis. The large effect size of this association, its potential relevance to other diseases in which SLC2A3 is implicated, and the possibility of targeting drugs to inhibit SLC2A3, argue for further examination of the genetics and the biology of this CNV.;A 129-kb Deletion on Chromosome 12 Confers Substantial Protection Against Rheumatoid Arthritis, Implicating the GeneSLC2A3
17;10.1002/ijc.28537;"Prophylactic surgery including hysterectomy and bilateral salpingo-oophorectomy (BSO) is recommended in breast cancer susceptibility gene (BRCA)-positive women, whereas in women from the general population, hysterectomy plus BSO may increase the risk of overall mortality. The effect of hysterectomy plus BSO on women previously diagnosed with breast cancer is unknown. We used data from a population-base data linkage study of all women diagnosed with primary breast cancer in Queensland, Australia between 1997 and 2008 (n = 21,067). We fitted flexible parametric breast cancer-specific and overall survival models with 95% confidence intervals (also known as Royston-Parmar models) to assess the impact of risk-reducing surgery (removal of uterus, one or both ovaries). We also stratified analyses by age 20-49 and 50-79 years, respectively. Overall, 1,426 women (7%) underwent risk-reducing surgery (13% of premenopausal women and 3% of postmenopausal women). No women who had risk-reducing surgery compared to 171 who did not have risk-reducing surgery developed a gynaecological cancer. Overall, 3,165 (15%) women died, including 2,195 (10%) from breast cancer. Hysterectomy plus BSO was associated with significantly reduced risk of death overall [adjusted hazard ration (HR), 0.69; 95% confidence interval (CI), 0.53-0.89; p = 0.005]. Risk reduction was greater among premenopausal women, whose risk of death halved (HR, 0.45; 95% CI, 0.25-0.79; p < 0.006). This was largely driven by reduction in breast cancer-specific mortality (HR, 0.43; 95% CI, 0.24-0.79; p < 0.006). This population-based study found that risk-reducing surgery halved the mortality risk for premenopausal breast cancer patients. Replication of our results in independent cohorts and subsequently randomised trials are needed to confirm these findings.";The impact of risk‐reducing hysterectomy and bilateral salpingo‐oophorectomy on survival in patients with a history of breast cancer—A population‐based data linkage study
18;10.1002/j.2164-585x.1979.tb00097.x;A survey of 458 colleges and universities, completed by 302 respondents, revealed that 51 percent of the institutions had a separately budgeted career center on their campus, and 83 percent had a centralized career planning program composed of a variety of activities or services. (Author);The Status of Career Planning Programs and Career Centers in Colleges and Universities
19;10.1002/jae.1080;Abstract Some extensions of neoclassical growth models are discussed that allow for cross‐section heterogeneity among economies and evolution in rates of technological progress over time. The models offer a spectrum of transitional behavior among economies that includes convergence to a common steady‐state path as well as various forms of transitional divergence and convergence. Mechanisms for modeling such transitions, measuring them econometrically, assessing group behavior and selecting subgroups are developed in the paper. Some econometric issues with the commonly used augmented Solow regressions are pointed out, including problems of endogeneity and omitted variable bias which arise under conditions of transitional heterogeneity. Alternative regression methods for analyzing economic transition are given which lead to a new test of the convergence hypothesis and a new procedure for detecting club convergence clusters. Transition curves for individual economies and subgroups of economies are estimated in a series of empirical applications of the methods to regional US data, OECD data and Penn World Table data. Copyright © 2009 John Wiley & Sons, Ltd.;Economic transition and growth
20;10.1002/jae.1093;Abstract Motivated by the questions ‘Financial Reform: What Shakes It? What Shapes It?’ raised by Abiad and Mody ( 2005 ), this paper studies the forces that induce governments to undertake financial sector reform. Rather than their ordered logit technique, it uses a within groups approach allowing for error dependence across countries and over time. This analysis shows that some of the AM findings are not robust to error dependence and the estimation method. It has shed new light on the political economy of financial reform. Copyright © 2009 John Wiley & Sons, Ltd.;The political economy of financial reform: are Abiad and Mody right?
21;10.1002/jae.2312;SUMMARY In this paper we investigate the demand for gasoline in Canada using recent annual expenditure data from the Canadian Survey of Household Spending, over a 13‐year period from 1997 to 2009, on three expenditure categories in the transportation sector: gasoline, local transportation, and intercity transportation. In doing so, we use three of the most widely used locally flexible functional forms, the Almost Ideal Demand System (AIDS) of Deaton and Muellbauer (1980), the quadratic AIDS (QUAIDS) of Banks et al. (1997)—an extension of the simple AIDS model that can generate quadratic Engel curves—and the Minflex Laurent model of Barnett (1983), which can also generate quadratic Engel curves. We pay explicit attention to economic regularity, argue that unless regularity is attained by luck, flexible functional forms should always be estimated subject to regularity as suggested by Barnett (2002), and impose local curvature to produce inference consistent with neoclassical microeconomic theory. Our findings indicate that the curvature‐constrained Minflex Laurent model is the only model that is able to provide theoretically consistent estimates of the Canadian demand for gasoline. Our estimates show that the own‐price elasticity for gasoline demand in Canada is between − 0.738 and − 0.570 —less elastic than previously reported in the literature. Copyright © 2013 John Wiley & Sons, Ltd.;THE DEMAND FOR GASOLINE: EVIDENCE FROM HOUSEHOLD SURVEY DATA
22;10.1002/jae.2503;Summary This paper utilizes quarterly panel data for 20 OECD countries over the period 1975:Q1–2014:Q2 to explore the importance of house prices and credit in affecting the likelihood of a financial crisis. Estimating a set of multivariate logit models, we find that booms in credit to both households and non‐financial enterprises are important to account for when evaluating the stability of the financial system. In addition, we find that global housing market developments have predictive power for domestic financial stability. Finally, econometric measures of bubble‐like behavior in housing and credit markets enter with positive and highly significant coefficients. Specifically, we find that the probability of a crisis increases markedly when bubble‐like behavior in house prices coincides with high household leverage. Copyright © 2016 John Wiley & Sons, Ltd.;Bubbles and Crises: The Role of House Prices and Credit
23;10.1002/jae.615;Abstract UK inflation has varied greatly in response to many economic policy and exchange‐rate regime shifts, two world wars and two oil crises, as well as legislative and technological changes. Inflation is modelled as responding to excess demands from all sectors of the economy: goods and services, factors of production, money, financial assets, foreign exchange, and government deficits. Equilibrium‐correction terms are developed for each of these over the sample. Indicator variables and commodity prices capture turbulent years. Variables representative of most theories of inflation matter empirically, yielding an eclectic model inconsistent with any ‘single‐cause’ explanation. Copyright © 2001 John Wiley & Sons, Ltd.;Modelling UK inflation, 1875–1991
24;10.1002/jip.55;Abstract Jaccard has been the choice similarity metric in ecology and forensic psychology for comparison of sites or offences, by species or behaviour. This paper applies a more powerful hierarchical measure—taxonomic similarity (Δs), recently developed in marine ecology—to the task of behaviourally linking serial crime. Forensic case linkage attempts to identify behaviourally similar offences committed by the same unknown perpetrator (called linked offences). Δs considers progressively higher‐level taxa, such that two sites show some similarity even without shared species. We apply this index by analysing 55 specific offence behaviours classified hierarchically. The behaviours are taken from 16 sexual offences by seven juveniles where each offender committed two or more offences. We demonstrate that both Jaccard and Δs show linked offences to be significantly more similar than unlinked offences. With up to 20% of the specific behaviours removed in simulations, Δs is equally or more effective at distinguishing linked offences than where Jaccard uses a full data set. Moreover, Δs retains significant difference between linked and unlinked pairs, with up to 50% of the specific behaviours removed. As police decision‐making often depends upon incomplete data, Δs has clear advantages and its application may extend to other crime types. Copyright © 2007 John Wiley & Sons, Ltd.;From marine ecology to crime analysis: Improving the detection of serial sexual offences using a taxonomic similarity measure
25;10.1002/jmri.22161;"Abstract Purpose: To develop a functional MRI (fMRI) signal based model that can evaluate depression severity in a numeric form; therefore, depressed patients can be identified during the course of illness, independent from symptoms. Materials and Methods: Data from 20 medication‐free depressed patients and 16 healthy subjects were analyzed. The event‐related fMRI scanning features under sad facial emotional stimuli were extracted as model inputs. Fuzzy logic and a genetic algorithm were used to provide suitable model outputs for numeric estimations of depression. Results: The correlation value r between the model estimations and the professional Hamilton Depression Rating Scales (HAMD) was 0.7886 with P < 0.00016. A typical tracking history for a particular subject has also promised the possibility for early disease warning, when the clinal symptoms are ambiguous or recessive. Conclusion: A numeric and objective estimation for the course of illness can be provided. The model can be used by psychiatrists to track the recovery process. As a simple extended application, the proposed model can be applied to classify subjects into different patterns: major depression, moderate depression, or healthy. J. Magn. Reson. Imaging 2010;31:1067–1074. © 2010 Wiley‐Liss, Inc.";Depression severity evaluation for female patients based on a functional MRI model
26;10.1002/mde.1230;Abstract The objective of this paper is to use a simultaneous equations method for estimating police production and demand to determine whether or not there are economies of scale in policing. In addition, the effect of market power on productivity, using the Herfindahl–Hirschmann Index, is to be measured. The estimation yields the result that there are diseconomies of scale with respect to the amount of crime beyond about 22 000 people in the policing jurisdiction and diseconomies of scale in numbers of police beyond about 36 000 people. Efficiency is also reduced where there is greater market power. This is conjectured to be the public sector equivalent of taking market power profits. Copyright © 2005 John Wiley & Sons, Ltd.;Economies of scale and market power in policing
27;10.1002/oby.22212;"OBJECTIVE: The Study of Novel Approaches to Weight Gain Prevention (SNAP) trial demonstrated that two self-regulatory interventions prevented weight gain in young adults. Weight and shape concern (WSC) at baseline was evaluated as a moderator of weight outcomes at 24 months. METHODS: Young adults (n = 599) were randomized to self-regulation with small changes (to create 200 kcal/day deficit), self-regulation with large changes (to facilitate preemptive weight loss of 5-10 lb), or self-guided control. WSC was assessed by using one item from the Eating Disorders Assessment. ANOVA was used to examine whether the association between baseline level of WSC and percent weight change over 24 months differed across treatment conditions. RESULTS: Approximately 22% of participants reported high WSC (37% moderate; 41% low). WSC and treatment condition interacted to influence weight change at 24 months (P = 0.03). Individuals with high WSC gained weight in the large changes group (WSC least squares means ± SE, high: + 0.73% ± 1.19%; moderate: -2.74% ± 0.84%; low: -2.41% ± 0.79%). The small changes condition was particularly effective for those with high WSC (high WSC: -2.49% ± 1.16%; moderate: -0.60% ± 0.88%; low: -0.71% ± 0.80%). WSC did not impact weight change among control participants. CONCLUSIONS: Individuals with high WSC may benefit from a small-changes approach to weight gain prevention. These findings indicate WSC may be used to match individuals to weight gain prevention treatment conditions.";Weight and Shape Concern Impacts Weight Gain Prevention in the SNAP Trial: Implications for Tailoring Intervention Delivery
28;10.1002/smj.2274;We present competing hypotheses regarding whether gender and ethnic minority CEO s endure inequities resulting in lower compensation and higher likelihood of job exit or benefit from their valuable, rare, and inimitable minority status, resulting in higher compensation and lower likelihood of job exit. Using a longitudinal sample, we find support for the resource‐based hypothesis regarding compensation that suggests CEO s benefit from their minority status to receive higher compensation than white male CEO s receive. However, we also find mixed support for our hypotheses relating CEO minority status to the likelihood of exit. We find that the effects of minority status on likelihood of exit are significantly different for female and ethnic minority CEO s such that the former relationship is negative while the latter is positive . Copyright © 2014 John Wiley & Sons, Ltd.;Do female and ethnically diverse executives endure inequity in the CEO position or do they benefit from their minority status? An empirical examination
29;10.1006/jesp.2001.1488;"This study tested whether internal nonaffective processing cues independently influence two major varieties of creative cognition: insight problem solving and creative generation. In Experiments 1 and 2, bodily cues associated with positive or negative hedonic states were manipulated by means of arm flexor or extensor contraction, respectively, and the effects of these internal cues on creative insight and generation were observed. In line with our cognitive tuning approach, it was predicted that the ""riskier,"" more explorative processing style elicited by arm flexion, relative to the more risk-averse, perseverant processing style elicited by arm extension, would facilitate performance on both tasks. These predictions were strongly supported. In addition, Experiments 3 and 4 provided the first direct evidence that the effects of these internal processing cues on creativity are mediated by a memory search-based mechanism. Reported effects were independent of mood, task enjoyment, and the effortfulness of the motor actions. © 2001 Elsevier Science.";The Influence of Approach and Avoidance Motor Actions on Creative Cognition
30;10.1006/jevp.2000.0176;Evidence suggests that architects as a group cannot predict the public's aesthetic evaluations of architecture. In this study, practicing architects predicted laypersons' responses to large contemporary building, and again these predictions were poorly correlated with ratings by laypersons, although some architects' predictions were better than others, and architects were able to predict accurately that lay ratings in general would be more favourable than their own. To understand why most architects are unable to predict reactions to particular buildings, the architects' predictions were analysed in relation to their own and lay ratings of the buildings' conceptual properties. The results suggest that architects are unable to exchange their own criteria for conceptual properties for those of laypersons when they predict public evaluations, which leads to self-anchored, inaccurate predictions. This was supported by showing that the best-predicting architects related their evaluations to buildings' conceptual properties in a manner similar to that of the laypersons. Implications for design are suggested. © 2001 Academic Press.;ARCHITECTS PREDICT LAY EVALUATIONS OF LARGE CONTEMPORARY BUILDINGS: WHOSE CONCEPTUAL PROPERTIES?
31;10.1006/jmla.1996.0032;One of the infant's first tasks in language acquisition is to discover the words embedded in a mostly continuous speech stream. This learning problem might be solved by using distributional cues to word boundaries—for example, by computing the transitional probabilities between sounds in the language input and using the relative strengths of these probabilities to hypothesize word boundaries. The learner might be further aided by language-specific prosodic cues correlated with word boundaries. As a first step in testing these hypotheses, we briefly exposed adults to an artificial language in which the only cues available for word segmentation were the transitional probabilities between syllables. Subjects were able to learn the words of this language. Furthermore, the addition of certain prosodic cues served to enhance performance. These results suggest that distributional cues may play an important role in the initial word segmentation of language learners.;Word Segmentation: The Role of Distributional Cues
